Player,Height,Foot,International matches,Goals,Country,TM_Position,Pos,Value_M,Age
Jürgen Locadia,"1,93m",right,16.0,1,Curaçao,Centre-Forward,FW,0.2,32
Lukas Hornicek,"1,98m",right,1.0,0,Czechia,Goalkeeper,GK,18.0,23
Matej Kovar,"1,96m",right,23.0,0,Czechia,Goalkeeper,GK,8.0,26
Jindrich Stanek,"1,92m",right,14.0,0,Czechia,Goalkeeper,GK,2.0,30
Ladislav Krejčí,"1,91m",left,30.0,6,Czechia,Centre-Back,DF,22.0,27
Robin Hranac,"1,89m",right,17.0,1,Czechia,Centre-Back,DF,10.0,26
Stepan Chaloupek,"1,88m",right,6.0,0,Czechia,Centre-Back,DF,10.0,23
David Zima,"1,90m",right,26.0,1,Czechia,Centre-Back,DF,7.0,25
Tomas Holes,"1,80m",right,43.0,2,Czechia,Centre-Back,DF,1.0,33
Jaroslav Zelený,"1,90m",left,25.0,0,Czechia,Centre-Back,DF,0.6,33
David Jurásek,"1,83m",left,18.0,1,Czechia,Left-Back,DF,5.0,25
Vladimír Coufal,"1,75m",right,65.0,2,Czechia,Right-Back,DF,2.5,33
Tomáš Souček,"1,92m",right,93.0,17,Czechia,Defensive Midfield,MF,10.0,31
Michal Sadílek,"1,69m",left,38.0,2,Czechia,Central Midfield,MF,8.0,27
Lukas Cerv,"1,82m",,19.0,2,Czechia,Central Midfield,MF,6.0,25
Hugo Sochurek,"1,83m",right,1.0,0,Czechia,Central Midfield,MF,3.5,18
Alexandr Sojka,"1,88m",left,5.0,0,Czechia,Central Midfield,MF,2.3,23
Vladimír Darida,"1,72m",right,80.0,8,Czechia,Central Midfield,MF,0.375,35
David Doudera,"1,75m",right,18.0,2,Czechia,Right Midfield,MF,3.5,28
Pavel Sulc,"1,77m",right,24.0,5,Czechia,Attacking Midfield,MF,20.0,25
Denis Visinsky,"1,78m",right,3.0,1,Czechia,Attacking Midfield,MF,3.0,23
Lukas Provod,"1,91m",left,41.0,3,Czechia,Left Winger,FW,8.0,29
Patrik Schick,"1,91m",left,56.0,26,Czechia,Centre-Forward,FW,18.0,30
Adam Hlozek,"1,88m",right,46.0,5,Czechia,Centre-Forward,FW,10.0,23
Mojmír Chytil,"1,87m",right,23.0,6,Czechia,Centre-Forward,FW,4.0,27
Jan Kuchta,"1,85m",right,31.0,3,Czechia,Centre-Forward,FW,2.7,29
Tomas Chory,"1,99m",right,24.0,7,Czechia,Centre-Forward,FW,2.7,31
Matthieu Epolo,"1,89m",right,1.0,0,DR Congo,Goalkeeper,GK,8.0,21
Timothy Fayulu,"1,92m",right,3.0,0,DR Congo,Goalkeeper,GK,0.8,26
Lionel Mpasi-Nzau,"1,82m",right,31.0,0,DR Congo,Goalkeeper,GK,0.4,31
Axel Tuanzebe,"1,88m",right,16.0,1,DR Congo,Centre-Back,DF,5.0,28
Steve Kapuadi,"1,96m",left,5.0,0,DR Congo,Centre-Back,DF,2.5,28
Chancel Mbemba,"1,82m",right,110.0,7,DR Congo,Centre-Back,DF,2.0,31
Dylan Batubinsika,"1,85m",right,15.0,1,DR Congo,Centre-Back,DF,0.6,30
Joris Kayembe,"1,80m",left,29.0,1,DR Congo,Left-Back,DF,2.0,31
Arthur Masuaku,"1,79m",left,47.0,4,DR Congo,Left-Back,DF,2.0,32
Aaron Wan-Bissaka,"1,83m",right,15.0,0,DR Congo,Right-Back,DF,15.0,28
Gédéon Kalulu,"1,78m",right,29.0,0,DR Congo,Right-Back,DF,1.0,28
Ngal'ayel Mukau,"1,86m",left,17.0,0,DR Congo,Defensive Midfield,MF,15.0,21
Charles Pickel,"1,87m",right,36.0,1,DR Congo,Defensive Midfield,MF,2.5,29
Noah Sadiki,"1,65m",right,23.0,0,DR Congo,Central Midfield,MF,35.0,21
Edo Kayembe,"1,83m",left,44.0,2,DR Congo,Central Midfield,MF,4.0,28
Samuel Moutoussamy,"1,76m",left,61.0,0,DR Congo,Central Midfield,MF,1.2,29
Aaron Tshibola,"1,84m",right,17.0,1,DR Congo,Central Midfield,MF,0.15,31
Gaël Kakuta,"1,74m",left,31.0,5,DR Congo,Attacking Midfield,MF,0.25,35
Nathanaël Mbuku,"1,70m",left,21.0,2,DR Congo,Left Winger,FW,2.0,24
Brian Cipenga,"1,72m",right,9.0,0,DR Congo,Left Winger,FW,2.0,28
Théo Bongonda,"1,76m",left,39.0,7,DR Congo,Right Winger,FW,3.0,30
Yoane Wissa,"1,76m",right,41.0,11,DR Congo,Centre-Forward,FW,25.0,29
Simon Banza,"1,89m",right,17.0,2,DR Congo,Centre-Forward,FW,10.0,29
Fiston Mayele,"1,85m",right,37.0,6,DR Congo,Centre-Forward,FW,1.8,32
Meschack Elia,"1,73m",right,67.0,12,DR Congo,Centre-Forward,FW,1.5,28
Cédric Bakambu,"1,82m",right,72.0,21,DR Congo,Centre-Forward,FW,1.2,35
Gonzalo Valle,"1,86m",right,4.0,0,Ecuador,Goalkeeper,GK,1.8,30
Moisés Ramírez,"1,85m",right,7.0,0,Ecuador,Goalkeeper,GK,0.8,25
Hernán Galíndez,"1,89m",right,39.0,0,Ecuador,Goalkeeper,GK,0.3,39
Willian Pacho,"1,88m",left,38.0,2,Ecuador,Centre-Back,DF,80.0,24
Piero Hincapié,"1,83m",left,56.0,3,Ecuador,Centre-Back,DF,50.0,24
Joel Ordóñez,"1,88m",right,20.0,0,Ecuador,Centre-Back,DF,33.0,22
Jackson Porozo,"1,92m",right,11.0,1,Ecuador,Centre-Back,DF,2.5,25
Félix Torres,"1,87m",right,50.0,5,Ecuador,Centre-Back,DF,1.0,29
Pervis Estupiñán,"1,75m",left,56.0,5,Ecuador,Left-Back,DF,12.0,28
Yaimar Medina,"1,73m",left,7.0,0,Ecuador,Left-Back,DF,4.0,21
Angelo Preciado,"1,74m",right,60.0,0,Ecuador,Right-Back,DF,3.5,28
Moisés Caicedo,"1,78m",right,65.0,3,Ecuador,Defensive Midfield,MF,100.0,24
Jordy Alcívar,"1,73m",right,12.0,1,Ecuador,Defensive Midfield,MF,2.0,26
Denil Castillo,"1,89m",right,5.0,0,Ecuador,Central Midfield,MF,7.0,22
Pedro Vite,"1,72m",left,21.0,1,Ecuador,Central Midfield,MF,6.0,24
Alan Franco,"1,75m",right,62.0,1,Ecuador,Central Midfield,MF,4.5,27
Kendry Páez,"1,78m",left,27.0,2,Ecuador,Attacking Midfield,MF,8.0,19
Nilson Angulo,"1,84m",right,18.0,3,Ecuador,Left Winger,FW,17.0,23
Gonzalo Plata,"1,78m",left,54.0,9,Ecuador,Right Winger,FW,9.0,25
Alan Minda,"1,74m",right,21.0,2,Ecuador,Right Winger,FW,3.0,23
Anthony Valencia,"1,73m",left,3.0,1,Ecuador,Right Winger,FW,1.8,22
John Yeboah,"1,70m",left,27.0,3,Ecuador,Second Striker,FW,5.5,26
Jeremy Arévalo,"1,82m",left,4.0,0,Ecuador,Centre-Forward,FW,7.0,21
Kevin Rodríguez,"1,90m",right,35.0,2,Ecuador,Centre-Forward,FW,6.0,26
Jordy Caicedo,"1,86m",right,23.0,4,Ecuador,Centre-Forward,FW,2.0,28
Enner Valencia,"1,77m",right,109.0,49,Ecuador,Centre-Forward,FW,1.0,36
Oufa Shobeir,"1,85m",right,13,0,Egypt,Goalkeeper,GK,1.2,26
Mohamed Alaa,"1,88m",right,-,0,Egypt,Goalkeeper,GK,1.2,26
Mohamed El Shenawy,"1,91m",right,76,0,Egypt,Goalkeeper,GK,0.5,37
El Mahdi Soliman,"1,87m",right,-,0,Egypt,Goalkeeper,GK,0.15,39
Mohamed Abdelmonem,"1,84m",right,38,3,Egypt,Centre-Back,DF,2.5,27
Hossam Abdelmaguid,"1,93m",right,14,0,Egypt,Centre-Back,DF,2.0,25
Ramy Rabia,"1,83m",right,47,5,Egypt,Centre-Back,DF,0.6,33
Yasser Ibrahim,"1,85m",right,21,1,Egypt,Centre-Back,DF,0.275,33
Ahmed Fatouh,"1,77m",left,42,1,Egypt,Left-Back,DF,1.0,28
Karim Hafez,"1,74m",left,10,0,Egypt,Left-Back,DF,0.7,30
Mohamed Hany,"1,80m",right,45,0,Egypt,Right-Back,DF,1.5,30
Tarek Alaa,"1,78m",right,3,0,Egypt,Right-Back,DF,0.25,24
Marwan Ateya,"1,76m",right,38,1,Egypt,Defensive Midfield,MF,4.0,27
Mohanad Lasheen,"1,80m",right,26,0,Egypt,Defensive Midfield,MF,3.0,30
Hamdy Fathy,"1,82m",right,65,3,Egypt,Defensive Midfield,MF,1.8,31
Nabil Dunga,"1,79m",right,12,0,Egypt,Defensive Midfield,MF,1.0,30
Emam Ashour,"1,80m",right,32,1,Egypt,Central Midfield,MF,4.0,28
Mahmoud Saber,"1,70m",right,16,2,Egypt,Central Midfield,MF,1.5,24
Trezeguet,"1,81m",right,98,24,Egypt,Left Winger,FW,4.5,31
Ibrahim Adel,"1,78m",right,25,3,Egypt,Left Winger,FW,2.5,25
Mostafa Ziko,"1,79m",right,5,3,Egypt,Left Winger,FW,1.8,29
Mohamed Salah,"1,75m",left,117,66,Egypt,Right Winger,FW,22.0,34
Haissem Hassan,"1,75m",left,4,0,Egypt,Right Winger,FW,3.5,24
Zizo,"1,75m",right,66,5,Egypt,Right Winger,FW,3.5,30
Omar Marmoush,"1,83m",right,53,11,Egypt,Centre-Forward,FW,50.0,27
Hamza Abdelkarim,"1,82m",both,5,0,Egypt,Centre-Forward,FW,1.5,18
Dean Henderson,"1,88m",right,5.0,0,England,Goalkeeper,GK,28.0,29
James Trafford,"1,92m",right,2.0,0,England,Goalkeeper,GK,25.0,23
Jordan Pickford,"1,85m",left,87.0,0,England,Goalkeeper,GK,13.0,32
Marc Guéhi,"1,82m",right,32.0,1,England,Centre-Back,DF,70.0,25
Jarell Quansah,"1,90m",right,4.0,0,England,Centre-Back,DF,45.0,23
Ezri Konsa,"1,80m",right,23.0,1,England,Centre-Back,DF,40.0,28
Trevoh Chalobah,"1,92m",right,1.0,0,England,Centre-Back,DF,40.0,26
John Stones,"1,88m",right,90.0,3,England,Centre-Back,DF,12.0,32
Dan Burn,"2,01m",left,8.0,0,England,Centre-Back,DF,4.0,34
Nico O'Reilly,"1,93m",left,8.0,0,England,Left-Back,DF,70.0,21
Djed Spence,"1,84m",right,9.0,0,England,Left-Back,DF,30.0,25
Reece James,"1,80m",right,26.0,1,England,Right-Back,DF,60.0,26
Jordan Henderson,"1,82m",right,90.0,3,England,Defensive Midfield,MF,1.2,36
Declan Rice,"1,88m",right,75.0,7,England,Central Midfield,MF,120.0,27
Elliot Anderson,"1,79m",right,12.0,0,England,Central Midfield,MF,75.0,23
Kobbie Mainoo,"1,84m",right,14.0,0,England,Central Midfield,MF,70.0,21
Jude Bellingham,"1,86m",right,51.0,8,England,Attacking Midfield,MF,130.0,23
Morgan Rogers,"1,87m",right,18.0,1,England,Attacking Midfield,MF,90.0,23
Eberechi Eze,"1,78m",right,19.0,3,England,Attacking Midfield,MF,65.0,28
Anthony Gordon,"1,83m",right,21.0,3,England,Left Winger,FW,65.0,25
Marcus Rashford,"1,85m",right,75.0,19,England,Left Winger,FW,40.0,28
Bukayo Saka,"1,78m",left,52.0,14,England,Right Winger,FW,110.0,24
Noni Madueke,"1,82m",left,14.0,1,England,Right Winger,FW,50.0,24
Harry Kane,"1,88m",right,117.0,82,England,Centre-Forward,FW,60.0,32
Ollie Watkins,"1,80m",right,23.0,7,England,Centre-Forward,FW,25.0,30
Ivan Toney,"1,85m",right,8.0,1,England,Centre-Forward,FW,20.0,30
Robin Risser,"1,93m",right,-,0,France,Goalkeeper,GK,30.0,21
Mike Maignan,"1,91m",right,44,0,France,Goalkeeper,GK,20.0,30
Brice Samba,"1,87m",left,4,0,France,Goalkeeper,GK,7.0,32
William Saliba,"1,92m",right,35,0,France,Centre-Back,DF,100.0,25
Dayot Upamecano,"1,86m",right,42,2,France,Centre-Back,DF,70.0,27
Maxence Lacroix,"1,90m",right,5,0,France,Centre-Back,DF,50.0,26
Ibrahima Konaté,"1,94m",right,29,0,France,Centre-Back,DF,45.0,27
Theo Hernández,"1,84m",left,47,2,France,Left-Back,DF,20.0,28
Lucas Hernández,"1,84m",left,42,0,France,Left-Back,DF,18.0,30
Lucas Digne,"1,78m",left,60,0,France,Left-Back,DF,6.0,32
Jules Koundé,"1,81m",right,52,0,France,Right-Back,DF,60.0,27
Malo Gusto,"1,78m",right,14,0,France,Right-Back,DF,35.0,23
Aurélien Tchouaméni,"1,88m",right,49,3,France,Defensive Midfield,MF,70.0,26
N'Golo Kanté,"1,68m",right,69,2,France,Defensive Midfield,MF,4.0,35
Warren Zaïre-Emery,"1,76m",right,11,1,France,Central Midfield,MF,80.0,20
Manu Koné,"1,85m",right,16,0,France,Central Midfield,MF,50.0,25
Adrien Rabiot,"1,91m",left,62,7,France,Central Midfield,MF,18.0,31
Rayan Cherki,"1,77m",both,11,2,France,Attacking Midfield,MF,90.0,22
Bradley Barcola,"1,87m",right,24,5,France,Left Winger,FW,70.0,23
Michael Olise,"1,80m",left,21,7,France,Right Winger,FW,150.0,24
Désiré Doué,"1,81m",right,11,3,France,Right Winger,FW,120.0,21
Maghnes Akliouche,"1,83m",left,10,1,France,Right Winger,FW,50.0,24
Kylian Mbappé,"1,80m",right,102,62,France,Centre-Forward,FW,180.0,27
Ousmane Dembélé,"1,79m",both,63,11,France,Centre-Forward,FW,100.0,29
Marcus Thuram,"1,92m",right,35,3,France,Centre-Forward,FW,50.0,28
Jean-Philippe Mateta,"1,92m",right,6,2,France,Centre-Forward,FW,30.0,29
Alexander Nübel,"1,93m",right,3.0,0,Germany,Goalkeeper,GK,12.0,29
Manuel Neuer,"1,93m",right,128.0,0,Germany,Goalkeeper,GK,4.0,40
Oliver Baumann,"1,87m",right,13.0,0,Germany,Goalkeeper,GK,2.5,36
Nico Schlotterbeck,"1,91m",left,29.0,1,Germany,Centre-Back,DF,55.0,26
Malick Thiaw,"1,94m",right,7.0,0,Germany,Centre-Back,DF,45.0,24
Jonathan Tah,"1,95m",right,51.0,1,Germany,Centre-Back,DF,28.0,30
Waldemar Anton,"1,89m",right,15.0,0,Germany,Centre-Back,DF,18.0,29
Antonio Rüdiger,"1,90m",right,86.0,3,Germany,Centre-Back,DF,6.0,33
Nathaniel Brown,"1,76m",left,8.0,1,Germany,Left-Back,DF,40.0,23
David Raum,"1,81m",left,39.0,1,Germany,Left-Back,DF,25.0,28
Aleksandar Pavlovic,"1,88m",both,15.0,1,Germany,Defensive Midfield,MF,90.0,22
Angelo Stiller,"1,83m",left,9.0,0,Germany,Defensive Midfield,MF,45.0,25
Joshua Kimmich,"1,77m",right,114.0,10,Germany,Defensive Midfield,MF,35.0,31
Felix Nmecha,"1,90m",right,12.0,2,Germany,Central Midfield,MF,50.0,25
Assan Ouédraogo,"1,91m",right,1.0,1,Germany,Central Midfield,MF,28.0,20
Nadiem Amiri,"1,80m",right,13.0,1,Germany,Central Midfield,MF,17.0,29
Leon Goretzka,"1,89m",right,73.0,15,Germany,Central Midfield,MF,12.0,31
Pascal Groß,"1,81m",right,19.0,1,Germany,Central Midfield,MF,2.5,35
Jamal Musiala,"1,84m",right,46.0,10,Germany,Attacking Midfield,MF,100.0,23
Florian Wirtz,"1,77m",right,45.0,11,Germany,Attacking Midfield,MF,100.0,23
Jamie Leweling,"1,85m",both,6.0,1,Germany,Right Winger,FW,40.0,25
Leroy Sané,"1,83m",left,80.0,18,Germany,Right Winger,FW,20.0,30
Kai Havertz,"1,93m",left,62.0,25,Germany,Centre-Forward,FW,55.0,27
Nick Woltemade,"1,98m",right,12.0,4,Germany,Centre-Forward,FW,55.0,24
Maximilian Beier,"1,85m",right,10.0,0,Germany,Centre-Forward,FW,40.0,23
Deniz Undav,"1,79m",both,13.0,9,Germany,Centre-Forward,FW,22.0,29
Lawrence Ati Zigi,"1,88m",right,30,0,Ghana,Goalkeeper,GK,1.5,29
Joseph Anang,"1,90m",right,1,0,Ghana,Goalkeeper,GK,0.35,26
Benjamin Asare,"1,88m",right,14,0,Ghana,Goalkeeper,GK,0.1,33
Kojo Peprah Oppong,"1,85m",right,6,0,Ghana,Centre-Back,DF,10.0,22
Alidu Seidu,"1,73m",right,24,1,Ghana,Centre-Back,DF,6.0,26
Jonas Adjetey,"1,88m",right,13,0,Ghana,Centre-Back,DF,6.0,22
Jerome Opoku,"1,97m",left,13,1,Ghana,Centre-Back,DF,5.0,27
Abdul Mumin,"1,88m",right,5,0,Ghana,Centre-Back,DF,3.0,28
Derrick Luckassen,"1,88m",right,2,1,Ghana,Centre-Back,DF,1.0,30
Gideon Mensah,"1,78m",left,43,0,Ghana,Left-Back,DF,4.0,27
Abdul Rahman Baba,"1,79m",left,52,1,Ghana,Left-Back,DF,2.0,31
Marvin Senaya,"1,81m",right,5,0,Ghana,Right-Back,DF,3.0,25
Elisha Owusu,"1,82m",right,22,0,Ghana,Defensive Midfield,MF,4.0,28
Thomas Partey,"1,85m",right,59,15,Ghana,Defensive Midfield,MF,2.0,33
Caleb Yirenkyi,"1,82m",right,14,2,Ghana,Central Midfield,MF,10.0,20
Kwasi Sibo,"1,83m",right,11,0,Ghana,Central Midfield,MF,1.4,28
Augustine Boakye,"1,78m",left,-,0,Ghana,Attacking Midfield,MF,6.0,25
Kamaldeen Sulemana,"1,74m",right,30,1,Ghana,Left Winger,FW,17.0,24
Christopher Bonsu Baah,"1,72m",left,9,0,Ghana,Left Winger,FW,14.0,21
Antoine Semenyo,"1,85m",right,37,3,Ghana,Right Winger,FW,80.0,26
Abdul Fatawu,"1,77m",left,31,3,Ghana,Right Winger,FW,20.0,22
Ernest Nuamah,"1,78m",left,21,4,Ghana,Right Winger,FW,10.0,22
Iñaki Williams,"1,86m",right,27,2,Ghana,Right Winger,FW,8.0,32
Brandon Thomas-Asante,"1,82m",right,10,1,Ghana,Centre-Forward,FW,16.0,27
Prince Adu,"1,79m",right,7,0,Ghana,Centre-Forward,FW,3.0,22
Jordan Ayew,"1,82m",right,121,33,Ghana,Centre-Forward,FW,1.0,34
Alexandre Pierre,"1,90m",right,15.0,0,Haiti,Goalkeeper,GK,0.7,25
Johny Placide,"1,81m",right,84.0,0,Haiti,Goalkeeper,GK,0.15,38
Josué Duverger,"1,87m",left,6.0,0,Haiti,Goalkeeper,GK,0.05,26
Hannes Delcroix,"1,83m",left,10.0,0,Haiti,Centre-Back,DF,2.0,27
Jean-Kévin Duverne,"1,84m",right,19.0,1,Haiti,Centre-Back,DF,2.0,28
Ricardo Adé,"1,90m",right,62.0,2,Haiti,Centre-Back,DF,0.3,36
Garven Metusala,"1,86m",right,15.0,0,Haiti,Centre-Back,DF,0.2,26
Keeto Thermoncy,"1,85m",right,1.0,0,Haiti,Centre-Back,DF,0.1,20
Martin Expérience,"1,78m",left,24.0,0,Haiti,Left-Back,DF,0.35,27
Duke Lacroix,"1,75m",left,16.0,3,Haiti,Left-Back,DF,0.125,32
Carlens Arcus,"1,80m",right,56.0,1,Haiti,Right-Back,DF,1.8,30
Wilguens Paugain,"1,80m",right,8.0,0,Haiti,Right-Back,DF,0.8,24
Danley Jean Jacques,"1,82m",right,33.0,6,Haiti,Defensive Midfield,MF,3.0,26
Dominique Simon,"1,78m",right,4.0,0,Haiti,Defensive Midfield,MF,0.2,25
Carl Sainté,"1,82m",right,26.0,0,Haiti,Defensive Midfield,MF,0.125,23
Woodensky Pierre,"1,77m",right,1.0,0,Haiti,Defensive Midfield,MF,0.1,21
Jean-Ricner Bellegarde,"1,70m",right,13.0,0,Haiti,Central Midfield,MF,16.0,28
Derrick Etienne Jr.,"1,78m",right,49.0,8,Haiti,Left Winger,FW,0.8,29
Ruben Providence,"1,78m",right,18.0,3,Haiti,Left Winger,FW,0.3,24
Josué Casimir,"1,78m",right,10.0,0,Haiti,Right Winger,FW,3.0,24
Louicius Deedson,"1,78m",left,35.0,10,Haiti,Right Winger,FW,1.2,25
Wilson Isidor,"1,84m",right,7.0,3,Haiti,Centre-Forward,FW,18.0,25
Lenny Joseph,"1,82m",right,5.0,1,Haiti,Centre-Forward,FW,2.0,25
Frantzdy Pierrot,"1,94m",right,54.0,34,Haiti,Centre-Forward,FW,1.5,31
Duckens Nazon,"1,81m",right,79.0,44,Haiti,Centre-Forward,FW,0.8,32
Yassin Fortuné,"1,86m",right,5.0,0,Haiti,Centre-Forward,FW,0.3,27
Payam Niazmand,"1,93m",right,13,0,Iran,Goalkeeper,GK,0.7,31
Alireza Beiranvand,"1,95m",right,89,0,Iran,Goalkeeper,GK,0.65,33
Seyed Hossein Hosseini,"1,89m",right,13,0,Iran,Goalkeeper,GK,0.5,34
Hossein Kanaani,"1,88m",right,66,6,Iran,Centre-Back,DF,1.6,32
Danial Eiri,"1,82m",right,-,0,Iran,Centre-Back,DF,1.0,22
Ali Nemati,"1,82m",left,21,0,Iran,Centre-Back,DF,0.55,30
Shoja Khalilzadeh,"1,83m",right,60,2,Iran,Centre-Back,DF,0.1,37
Milad Mohammadi,"1,75m",left,78,1,Iran,Left-Back,DF,0.9,32
Ehsan Hajsafi,"1,78m",left,145,7,Iran,Left-Back,DF,0.25,36
Arya Yousefi,"1,81m",right,13,1,Iran,Right-Back,DF,1.5,24
Saleh Hardani,"1,76m",right,20,1,Iran,Right-Back,DF,0.8,27
Ramin Rezaeian,"1,84m",right,78,10,Iran,Right-Back,DF,0.25,36
Saeed Ezatolahi,"1,89m",right,85,2,Iran,Defensive Midfield,MF,1.8,29
Mohammad Ghorbani,"1,90m",right,17,0,Iran,Defensive Midfield,MF,1.2,25
Roozbeh Cheshmi,"1,92m",right,39,2,Iran,Defensive Midfield,MF,0.45,32
Amirmohammad Razzaghinia,"1,87m",right,4,0,Iran,Central Midfield,MF,1.2,20
Saman Ghoddos,"1,76m",right,70,2,Iran,Attacking Midfield,MF,1.2,32
Mehdi Ghayedi,"1,66m",right,29,8,Iran,Left Winger,FW,4.5,27
Mohammad Mohebi,"1,87m",right,38,14,Iran,Left Winger,FW,2.5,27
Mehdi Torabi,"1,85m",right,52,7,Iran,Left Winger,FW,1.2,31
Alireza Jahanbakhsh,"1,80m",right,99,17,Iran,Right Winger,FW,0.5,32
Amirhossein Hosseinzadeh,"1,78m",right,20,5,Iran,Centre-Forward,FW,2.2,25
Mehdi Taremi,"1,87m",right,107,58,Iran,Centre-Forward,FW,2.0,33
Dennis Eckert Ayensa,"1,82m",right,-,0,Iran,Centre-Forward,FW,2.0,29
Ali Alipour,"1,81m",both,15,1,Iran,Centre-Forward,FW,1.7,30
Shahriar Moghanlou,"1,89m",left,22,1,Iran,Centre-Forward,FW,0.8,31
Ahmed Basil Fadhil,"1,86m",both,17.0,0,Iraq,Goalkeeper,GK,0.45,29
Fahad Talib,"1,93m",,20.0,0,Iraq,Goalkeeper,GK,0.375,31
Jalal Hassan,"1,84m",right,100.0,0,Iraq,Goalkeeper,GK,0.25,35
Akam Hashem,"1,86m",left,17.0,1,Iraq,Centre-Back,DF,0.7,27
Zaid Tahseen,"1,93m",right,29.0,1,Iraq,Centre-Back,DF,0.6,25
Frans Putros,"1,81m",right,29.0,0,Iraq,Centre-Back,DF,0.325,32
Manaf Younis,"1,90m",right,34.0,1,Iraq,Centre-Back,DF,0.3,29
Rebin Sulaka,"1,92m",right,56.0,1,Iraq,Centre-Back,DF,0.1,34
Merchas Doski,"1,73m",left,34.0,1,Iraq,Left-Back,DF,1.7,26
Ahmed Maknzi,"1,83m",left,8.0,0,Iraq,Left-Back,DF,0.45,24
Hussein Ali,"1,82m",right,29.0,1,Iraq,Right-Back,DF,0.4,24
Mustafa Saadoon,"1,82m",right,18.0,0,Iraq,Right-Back,DF,0.35,25
Amir Al-Ammari,"1,84m",left,53.0,3,Iraq,Defensive Midfield,MF,1.0,28
Zaid Ismail,"1,85m",,8.0,0,Iraq,Defensive Midfield,MF,0.5,24
Aimar Sher,"1,80m",right,8.0,0,Iraq,Central Midfield,MF,1.5,23
Zidane Iqbal,"1,81m",right,28.0,2,Iraq,Central Midfield,MF,1.0,23
Kevin Yakob,"1,84m",right,10.0,0,Iraq,Central Midfield,MF,0.85,25
Marko Farji,"1,84m",right,14.0,0,Iraq,Left Winger,FW,1.7,22
Youssef Amyn,"1,75m",right,28.0,2,Iraq,Left Winger,FW,0.55,22
Ali Jasim,"1,78m",right,38.0,2,Iraq,Left Winger,FW,0.5,22
Ahmed Qasem,"1,83m",left,6.0,0,Iraq,Right Winger,FW,3.5,22
Ibrahim Bayesh,"1,77m",right,77.0,8,Iraq,Right Winger,FW,0.8,26
Ali Al-Hamadi,"1,87m",right,23.0,5,Iraq,Centre-Forward,FW,1.5,24
Mohanad Ali,"1,83m",right,71.0,26,Iraq,Centre-Forward,FW,1.2,26
Aymen Hussein,"1,89m",right,93.0,33,Iraq,Centre-Forward,FW,0.4,30
Ali Yousif,"1,92m",right,8.0,1,Iraq,Centre-Forward,FW,0.2,30
Yahia Fofana,"1,94m",right,38,0,Ivory Coast,Goalkeeper,GK,5.0,25
Alban Lafont,"1,96m",right,4,0,Ivory Coast,Goalkeeper,GK,3.0,27
Mohamed Koné,"1,86m",right,-,0,Ivory Coast,Goalkeeper,GK,2.0,24
Ousmane Diomande,"1,90m",right,15,0,Ivory Coast,Centre-Back,DF,42.0,22
Evan Ndicka,"1,92m",left,27,0,Ivory Coast,Centre-Back,DF,35.0,26
Emmanuel Agbadou,"1,85m",right,24,2,Ivory Coast,Centre-Back,DF,16.0,29
Odilon Kossounou,"1,91m",right,39,0,Ivory Coast,Centre-Back,DF,15.0,25
Christopher Operi,"1,83m",left,13,0,Ivory Coast,Left-Back,DF,4.0,29
Ghislain Konan,"1,76m",left,56,0,Ivory Coast,Left-Back,DF,3.0,30
Wilfried Singo,"1,82m",right,35,1,Ivory Coast,Right-Back,DF,23.0,25
Guéla Doué,"1,87m",right,24,3,Ivory Coast,Right-Back,DF,20.0,23
Ibrahim Sangaré,"1,91m",right,58,11,Ivory Coast,Defensive Midfield,MF,20.0,28
Jean Michaël Seri,"1,69m",right,64,4,Ivory Coast,Defensive Midfield,MF,0.1,34
Christ Inao Oulaï,"1,73m",right,13,0,Ivory Coast,Central Midfield,MF,23.0,20
Franck Kessié,"1,83m",right,104,15,Ivory Coast,Central Midfield,MF,12.0,29
Seko Fofana,"1,85m",right,34,7,Ivory Coast,Central Midfield,MF,8.0,31
Yan Diomande,"1,80m",right,14,3,Ivory Coast,Left Winger,FW,90.0,19
Bazoumana Touré,"1,78m",left,9,2,Ivory Coast,Left Winger,FW,40.0,20
Simon Adingra,"1,75m",right,30,5,Ivory Coast,Left Winger,FW,22.0,24
Parfait Guiagon,"1,65m",right,5,0,Ivory Coast,Left Winger,FW,5.0,25
Amad Diallo,"1,73m",left,23,8,Ivory Coast,Right Winger,FW,45.0,23
Evann Guessand,"1,88m",right,23,4,Ivory Coast,Right Winger,FW,25.0,25
Nicolas Pépé,"1,83m",left,57,14,Ivory Coast,Right Winger,FW,6.0,31
Ange-Yoan Bonny,"1,89m",right,5,0,Ivory Coast,Centre-Forward,FW,35.0,22
Elye Wahi,"1,81m",right,5,0,Ivory Coast,Centre-Forward,FW,18.0,23
Oumar Diakité,"1,82m",right,31,6,Ivory Coast,Centre-Forward,FW,5.0,22
Zion Suzuki,"1,90m",right,28.0,0,Japan,Goalkeeper,GK,20.0,23
Keisuke Osako,"1,88m",right,11.0,0,Japan,Goalkeeper,GK,2.0,26
Tomoki Hayakawa,"1,87m",right,4.0,0,Japan,Goalkeeper,GK,2.0,27
Hiroki Ito,"1,88m",left,28.0,1,Japan,Centre-Back,DF,18.0,27
Tsuyoshi Watanabe,"1,84m",right,13.0,0,Japan,Centre-Back,DF,10.0,29
Ko Itakura,"1,88m",right,42.0,2,Japan,Centre-Back,DF,8.0,29
