Player,Height,Foot,International matches,Goals,Country,TM_Position,Pos,Value_M,Age
Cristian Volpato,"1,87m",left,3.0,0,Australia,Attacking Midfield,MF,10.0,22
Nishan Velupillay,"1,81m",right,9.0,3,Australia,Left Winger,FW,0.65,25
Awer Mabil,"1,78m",right,38.0,10,Australia,Left Winger,FW,0.5,30
Mathew Leckie,"1,81m",right,82.0,14,Australia,Left Winger,FW,0.3,35
Nestory Irankunda,"1,75m",right,18.0,6,Australia,Right Winger,FW,8.0,20
Mohamed Touré,"1,86m",right,12.0,2,Australia,Centre-Forward,FW,8.0,22
Tete Yengi,"1,97m",right,3.0,1,Australia,Centre-Forward,FW,0.45,25
Florian Wiegele,"2,05m",left,1.0,0,Austria,Goalkeeper,GK,2.2,25
Patrick Pentz,"1,83m",left,18.0,0,Austria,Goalkeeper,GK,2.2,29
Alexander Schlager,"1,88m",right,29.0,0,Austria,Goalkeeper,GK,2.0,30
David Affengruber,"1,85m",right,1.0,0,Austria,Centre-Back,DF,20.0,25
Kevin Danso,"1,90m",right,35.0,0,Austria,Centre-Back,DF,20.0,27
Philipp Lienhart,"1,89m",right,43.0,3,Austria,Centre-Back,DF,10.0,29
Marco Friedl,"1,87m",left,12.0,0,Austria,Centre-Back,DF,10.0,28
Stefan Posch,"1,88m",right,55.0,5,Austria,Centre-Back,DF,6.0,29
Michael Svoboda,"1,95m",right,4.0,0,Austria,Centre-Back,DF,3.5,27
David Alaba,"1,80m",left,116.0,15,Austria,Centre-Back,DF,3.0,34
Phillipp Mwene,"1,70m",right,32.0,0,Austria,Left-Back,DF,1.5,32
Konrad Laimer,"1,80m",right,60.0,7,Austria,Right-Back,DF,32.0,29
Nicolas Seiwald,"1,79m",right,50.0,1,Austria,Defensive Midfield,MF,25.0,25
Dejan Ljubicic,"1,87m",right,9.0,1,Austria,Defensive Midfield,MF,3.0,28
Florian Grillitsch,"1,86m",right,60.0,1,Austria,Defensive Midfield,MF,2.5,30
Paul Wanner,"1,85m",left,6.0,0,Austria,Central Midfield,MF,22.0,20
Carney Chukwuemeka,"1,87m",right,5.0,1,Austria,Central Midfield,MF,20.0,22
Xaver Schlager,"1,74m",left,54.0,4,Austria,Central Midfield,MF,10.0,28
Marcel Sabitzer,"1,78m",right,101.0,27,Austria,Central Midfield,MF,6.0,32
Alessandro Schöpf,"1,78m",right,35.0,6,Austria,Central Midfield,MF,0.8,32
Alexander Prass,"1,80m",left,20.0,0,Austria,Left Midfield,MF,9.0,25
Romano Schmid,"1,68m",right,37.0,4,Austria,Attacking Midfield,MF,15.0,26
Patrick Wimmer,"1,82m",right,32.0,1,Austria,Right Winger,FW,12.0,25
Sasa Kalajdzic,"2,00m",right,24.0,5,Austria,Centre-Forward,FW,4.0,28
Marko Arnautovic,"1,92m",both,136.0,49,Austria,Centre-Forward,FW,2.0,37
Michael Gregoritsch,"1,93m",left,77.0,24,Austria,Centre-Forward,FW,1.5,32
Senne Lammens,"1,93m",right,2,0,Belgium,Goalkeeper,GK,35.0,23
Mike Penders,"2,00m",left,-,0,Belgium,Goalkeeper,GK,25.0,20
Thibaut Courtois,"1,99m",left,112,0,Belgium,Goalkeeper,GK,15.0,34
Zeno Debast,"1,91m",right,26,1,Belgium,Centre-Back,DF,28.0,22
