Player,Pos,Age,90s,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Country
Štěpán Chaloupek,DF,23-115,1.0,0,0,,0.0,0.0,,,Czechia
David Douděra,MF,28-031,1.0,4,0,0.0,4.0,0.0,0.0,,Czechia
Denis Višinský,FW,23-102,0.6,3,0,0.0,4.91,0.0,0.0,,Czechia
Vladimír Darida,MF,35-327,0.6,1,0,0.0,1.67,0.0,0.0,,Czechia
Tomáš Chorý,FW,31-156,0.3,0,0,,0.0,0.0,,,Czechia
David Zima,DF,25-235,0.1,0,0,,0.0,0.0,,,Czechia
Mojmír Chytil,FW,27-063,0.1,0,0,,0.0,0.0,,,Czechia
Moisés Caicedo,MF,24-241,4.0,4,1,25.0,1.0,0.25,0.0,0.0,Ecuador
Hernán Galíndez,GK,39-093,4.0,0,0,,0.0,0.0,,,Ecuador
Willian Pacho,DF,24-258,4.0,1,1,100.0,0.25,0.25,0.0,0.0,Ecuador
Gonzalo Plata,FW,25-242,4.0,8,5,62.5,2.0,1.25,0.13,0.2,Ecuador
Pedro Vite,MF,24-114,4.0,4,1,25.0,1.0,0.25,0.0,0.0,Ecuador
Piero Hincapié,DF,24-173,3.8,3,0,0.0,0.8,0.0,0.0,,Ecuador
John Yeboah,MF,26-008,3.5,8,3,37.5,2.32,0.87,0.0,0.0,Ecuador
Enner Valencia,FW,36-239,3.2,10,6,60.0,3.14,1.88,0.0,0.0,Ecuador
Alan Franco,DF,27-314,2.8,0,0,,0.0,0.0,,,Ecuador
Joel Ordóñez,DF,22-071,2.5,2,0,0.0,0.8,0.0,0.0,,Ecuador
Nilson Angulo,MF,23-012,2.4,2,2,100.0,0.83,0.83,0.5,0.5,Ecuador
Pervis Estupiñán,MF,28-161,1.0,0,0,,0.0,0.0,,,Ecuador
Alan Minda,MF,23-048,0.6,2,0,0.0,3.27,0.0,0.0,,Ecuador
Jordy Alcivar,MF,26-330,0.5,1,0,0.0,2.0,0.0,0.0,,Ecuador
Kevin Rodríguez,FW,26-119,1.3,6,1,16.7,4.58,0.76,0.0,0.0,Ecuador
Ángelo Preciado,"DF,MF",28-133,1.2,0,0,,0.0,0.0,,,Ecuador
Yaimar Medina,"DF,MF",21-238,0.5,1,0,0.0,2.0,0.0,0.0,,Ecuador
Jackson Porozo,DF,25-331,0.3,0,0,,0.0,0.0,,,Ecuador
Jordy Caicedo,FW,28-225,0.2,1,0,0.0,4.5,0.0,0.0,,Ecuador
Kendry Páez,MF,19-058,0.1,0,0,,0.0,0.0,,,Ecuador
Félix Torres Caicedo,DF,29-171,0.1,0,0,,0.0,0.0,,,Ecuador
Mohamed Hany,DF,30-161,4.3,4,0,0.0,0.92,0.0,0.0,,Egypt
Mostafa Shobeir,GK,26-051,4.3,0,0,,0.0,0.0,,,Egypt
Mohamed Salah,"FW,MF",34-020,3.7,9,4,44.4,2.42,1.07,0.11,0.25,Egypt
Emam Ashour,MF,28-135,3.5,10,2,20.0,2.84,0.57,0.2,1.0,Egypt
Mostafa Ziko,"MF,FW",29-069,3.2,7,2,28.6,2.16,0.62,0.14,0.5,Egypt
Yasser Ibrahim,DF,33-145,4.2,0,0,,0.0,0.0,,,Egypt
Marwan Attia,MF,27-327,3.8,4,0,0.0,1.05,0.0,0.0,,Egypt
Omar Marmoush,"FW,MF",27-148,3.5,11,1,9.1,3.14,0.29,0.0,0.0,Egypt
Mohanad Lasheen,MF,30-037,3.0,2,0,0.0,0.67,0.0,0.0,,Egypt
Ahmed Fatouh,DF,28-105,3.0,1,1,100.0,0.34,0.34,0.0,0.0,Egypt
Hamdy Fathy,"DF,MF",31-279,2.1,0,0,,0.0,0.0,,,Egypt
Ramy Rabia,DF,33-046,3.1,1,1,100.0,0.32,0.32,0.0,0.0,Egypt
Trézéguet,MF,31-277,1.6,6,3,50.0,3.7,1.85,0.17,0.33,Egypt
Karim Hafez,DF,30-115,0.9,0,0,,0.0,0.0,,,Egypt
Mahmoud Saber,MF,24-340,0.5,3,1,33.3,5.87,1.96,0.33,1.0,Egypt
Mohamed Abdelmonem,DF,27-154,0.2,0,0,,0.0,0.0,,,Egypt
Hamza Abdelkarim,FW,18-185,0.7,0,0,,0.0,0.0,,,Egypt
Hossam Abdelmaguid,DF,25-066,0.7,0,0,,0.0,0.0,,,Egypt
Zizo,MF,30-176,0.6,3,1,33.3,4.91,1.64,0.0,0.0,Egypt
Haissem Hassan,MF,24-147,0.6,1,0,0.0,1.67,0.0,0.0,,Egypt
Ibrahim Adel,MF,25-073,0.0,0,0,,0.0,0.0,,,Egypt
Ezri Konsa,DF,28-255,4.0,2,1,50.0,0.5,0.25,0.0,0.0,England
Jordan Pickford,GK,32-120,4.0,0,0,,0.0,0.0,,,England
Harry Kane,FW,32-342,3.9,18,9,50.0,4.59,2.29,0.22,0.44,England
Elliot Anderson,MF,23-241,3.7,7,1,14.3,1.87,0.27,0.0,0.0,England
Jude Bellingham,MF,23-006,3.5,9,6,66.7,2.6,1.73,0.22,0.33,England
Nico O'Reilly,DF,21-106,3.3,6,1,16.7,1.83,0.31,0.0,0.0,England
Marc Guéhi,DF,25-357,3.0,1,0,0.0,0.33,0.0,0.0,,England
Declan Rice,MF,27-172,2.8,4,1,25.0,1.44,0.36,0.0,0.0,England
Noni Madueke,MF,24-117,2.7,6,1,16.7,2.24,0.37,0.0,0.0,England
Reece James,DF,26-209,2.0,1,0,0.0,0.5,0.0,0.0,,England
Marcus Rashford,MF,28-247,2.0,9,3,33.3,4.58,1.53,0.11,0.33,England
Djed Spence,DF,25-330,1.9,1,1,100.0,0.52,0.52,0.0,0.0,England
Anthony Gordon,MF,25-131,1.8,4,2,50.0,2.18,1.09,0.0,0.0,England
Bukayo Saka,MF,24-303,1.5,5,1,20.0,3.28,0.66,0.0,0.0,England
Morgan Rogers,MF,23-344,1.4,0,0,,0.0,0.0,,,England
John Stones,DF,32-038,1.0,0,0,,0.0,0.0,,,England
Jarell Quansah,DF,23-157,0.7,0,0,,0.0,0.0,,,England
Eberechi Eze,"FW,MF",28-006,0.6,1,0,0.0,1.55,0.0,0.0,,England
Jordan Henderson,MF,36-018,0.1,0,0,,0.0,0.0,,,England
Ollie Watkins,"FW,MF",30-187,0.1,0,0,,0.0,0.0,,,England
Mike Maignan,GK,30-363,4.0,0,0,,0.0,0.0,,,France
Kylian Mbappé,FW,27-193,3.9,21,13,61.9,5.42,3.35,0.29,0.46,France
Dayot Upamecano,DF,27-247,3.8,2,0,0.0,0.52,0.0,0.0,,France
Jules Koundé,DF,27-231,3.7,1,0,0.0,0.27,0.0,0.0,,France
Michael Olise,MF,24-201,3.4,14,5,35.7,4.13,1.48,0.0,0.0,France
Ousmane Dembélé,MF,29-047,3.2,10,5,50.0,3.17,1.58,0.4,0.8,France
Adrien Rabiot,MF,31-089,3.0,3,1,33.3,1.0,0.33,0.0,0.0,France
William Saliba,DF,25-099,3.0,1,0,0.0,0.33,0.0,0.0,,France
Aurélien Tchouaméni,MF,26-155,3.0,2,0,0.0,0.67,0.0,0.0,,France
Désiré Doué,MF,21-028,2.4,7,5,71.4,2.93,2.09,0.14,0.2,France
Bradley Barcola,MF,23-302,2.3,5,3,60.0,2.15,1.29,0.4,0.67,France
Theo Hernández,DF,28-268,2.1,3,0,0.0,1.4,0.0,0.0,,France
Manu Koné,MF,25-045,2.0,2,1,50.0,1.0,0.5,0.0,0.0,France
Lucas Digne,DF,32-346,1.9,1,1,100.0,0.54,0.54,0.0,0.0,France
Maxence Lacroix,DF,26-086,1.0,0,0,,0.0,0.0,,,France
Rayan Cherki,"FW,MF",22-318,0.7,0,0,,0.0,0.0,,,France
Malo Gusto,"DF,MF",23-043,0.3,0,0,,0.0,0.0,,,France
Ibrahima Konaté,DF,27-037,0.2,0,0,,0.0,0.0,,,France
Jean-Philippe Mateta,FW,29-003,0.1,1,0,0.0,9.0,0.0,0.0,,France
Maghnes Akliouche,MF,24-126,0.1,0,0,,0.0,0.0,,,France
Marcus Thuram,"FW,MF",28-329,0.0,0,0,,0.0,0.0,,,France
Manuel Neuer,GK,40-096,4.3,0,0,,0.0,0.0,,,Germany
Jonathan Tah,DF,30-140,4.1,1,1,100.0,0.24,0.24,0.0,0.0,Germany
Florian Wirtz,MF,23-059,4.0,10,1,10.0,2.49,0.25,0.0,0.0,Germany
Kai Havertz,FW,27-020,3.9,12,7,58.3,3.06,1.78,0.17,0.29,Germany
Joshua Kimmich,DF,31-143,3.9,5,1,20.0,1.28,0.26,0.0,0.0,Germany
Leroy Sané,MF,30-171,3.6,6,2,33.3,1.66,0.55,0.17,0.5,Germany
Aleksandar Pavlovic,MF,22-059,3.0,4,1,25.0,1.32,0.33,0.0,0.0,Germany
Felix Nmecha,MF,25-264,3.0,8,3,37.5,2.67,1.0,0.13,0.33,Germany
Nathaniel Brown,DF,23-015,3.1,3,2,66.7,0.96,0.64,0.33,0.5,Germany
Jamal Musiala,MF,23-125,3.0,6,1,16.7,2.0,0.33,0.17,1.0,Germany
Antonio Rüdiger,DF,33-120,2.9,1,0,0.0,0.34,0.0,0.0,,Germany
Nico Schlotterbeck,DF,26-212,1.5,2,2,100.0,1.33,1.33,0.5,0.5,Germany
Deniz Undav,FW,29-347,1.7,6,4,66.7,3.58,2.38,0.5,0.75,Germany
David Raum,DF,28-070,1.2,1,1,100.0,0.83,0.83,0.0,0.0,Germany
Leon Goretzka,MF,31-145,1.1,2,0,0.0,1.82,0.0,0.0,,Germany
Waldemar Anton,"DF,MF",29-346,0.6,1,1,100.0,1.8,1.8,0.0,0.0,Germany
Angelo Stiller,MF,25-088,0.5,0,0,,0.0,0.0,,,Germany
Nadiem Amiri,MF,29-247,0.5,2,1,50.0,4.29,2.14,0.0,0.0,Germany
Malick Thiaw,"DF,MF",24-327,0.5,0,0,,0.0,0.0,,,Germany
Nick Woltemade,"FW,MF",24-137,0.4,2,0,0.0,5.45,0.0,0.0,,Germany
Jamie Leweling,"FW,MF",25-125,0.3,1,0,0.0,2.9,0.0,0.0,,Germany
Maximilian Beier,"FW,MF",23-257,0.3,0,0,,0.0,0.0,,,Germany
Pascal Groß,"DF,MF",35-016,0.2,1,0,0.0,5.0,0.0,0.0,,Germany
Gideon Mensah,DF,27-352,4.0,0,0,,0.0,0.0,,,Ghana
Antoine Semenyo,"MF,FW",26-179,4.0,6,0,0.0,1.5,0.0,0.0,,Ghana
Jordan Ayew,FW,34-297,3.3,0,0,,0.0,0.0,,,Ghana
Marvin Senaya,DF,25-158,3.1,2,0,0.0,0.65,0.0,0.0,,Ghana
Jerome Opoku,DF,27-264,3.0,0,0,,0.0,0.0,,,Ghana
Thomas Partey,MF,33-022,3.0,2,0,0.0,0.67,0.0,0.0,,Ghana
Caleb Yirenkyi,MF,20-171,2.9,2,1,50.0,0.68,0.34,0.5,1.0,Ghana
Kwasi Sibo,MF,28-011,2.8,0,0,,0.0,0.0,,,Ghana
Jonas Adjetey,DF,22-204,2.5,2,1,50.0,0.8,0.4,0.0,0.0,Ghana
Benjamin Asare,GK,33-357,2.5,0,0,,0.0,0.0,,,Ghana
Derrick Luckassen,DF,31-002,2.0,1,1,100.0,0.5,0.5,1.0,1.0,Ghana
Elisha Owusu,MF,28-240,1.7,0,0,,0.0,0.0,,,Ghana
Lawrence Ati-Zigi,GK,29-218,1.5,0,0,,0.0,0.0,,,Ghana
Kamaldeen Sulemana,"MF,FW",24-140,1.4,1,0,0.0,0.71,0.0,0.0,,Ghana
Iñaki Williams,"MF,FW",32-020,1.4,3,0,0.0,2.14,0.0,0.0,,Ghana
Ernest Nuamah,MF,22-246,1.0,0,0,,0.0,0.0,,,Ghana
Abdul Fatawu Issahaku,"FW,MF",22-119,1.5,3,0,0.0,2.05,0.0,0.0,,Ghana
Alidu Seidu,DF,26-031,0.9,0,0,,0.0,0.0,,,Ghana
Brandon Thomas-Asante,"FW,MF",27-188,0.6,1,0,0.0,1.7,0.0,0.0,,Ghana
Kojo Peprah Oppong,DF,22-031,0.5,0,0,,0.0,0.0,,,Ghana
Prince Kwabena Adu,FW,22-285,0.4,1,1,100.0,2.31,2.31,0.0,0.0,Ghana
Abdul Rahman Baba,"DF,MF",32-003,0.0,0,0,,0.0,0.0,,,Ghana
Ricardo Adé,DF,36-041,3.0,4,1,25.0,1.33,0.33,0.0,0.0,Haiti
Hannes Delcroix,DF,27-123,3.0,0,0,,0.0,0.0,,,Haiti
Martin Expérience,"DF,MF",27-114,3.0,1,0,0.0,0.33,0.0,0.0,,Haiti
Johny Placide,GK,38-153,3.0,0,0,,0.0,0.0,,,Haiti
Jean-Ricner Bellegarde,MF,28-004,2.9,6,0,0.0,2.08,0.0,0.0,,Haiti
Danley Jean-Jacques,MF,26-042,2.9,0,0,,0.0,0.0,,,Haiti
Ruben Providence,MF,24-359,2.4,4,1,25.0,1.64,0.41,0.0,0.0,Haiti
Wilson Isidor,FW,25-308,2.1,5,2,40.0,2.42,0.97,0.2,0.5,Haiti
Josué Casimir,MF,24-280,2.0,1,0,0.0,0.49,0.0,0.0,,Haiti
Jean-Kevin Duverne,DF,28-354,1.9,1,0,0.0,0.53,0.0,0.0,,Haiti
Carlens Arcus,"MF,DF",30-003,1.6,0,0,,0.0,0.0,,,Haiti
Frantzdy Pierrot,FW,31-094,1.6,3,1,33.3,1.89,0.63,0.0,0.0,Haiti
Lenny Joseph,FW,25-262,1.3,2,0,0.0,1.54,0.0,0.0,,Haiti
Louicius Deedson,MF,25-140,1.2,2,0,0.0,1.61,0.0,0.0,,Haiti
Dominique Simon,MF,25-337,0.6,1,1,100.0,1.61,1.61,0.0,0.0,Haiti
Duckens Nazon,"FW,MF",32-085,0.3,1,1,100.0,3.75,3.75,0.0,0.0,Haiti
Derrick Etienne,"FW,MF",29-218,0.1,0,0,,0.0,0.0,,,Haiti
Yassin Fortuné,"FW,MF",27-152,0.1,0,0,,0.0,0.0,,,Haiti
Alireza Beiranvand,GK,33-283,3.0,0,0,,0.0,0.0,,,Iran
Shoja' Khalilzadeh,DF,37-048,3.0,2,0,0.0,0.67,0.0,0.0,,Iran
Ali Nemati,DF,30-143,3.0,1,0,0.0,0.33,0.0,0.0,,Iran
Ramin Rezaeian,"DF,MF",36-102,3.0,4,2,50.0,1.33,0.67,0.5,1.0,Iran
Saeid Ezatolahi,MF,29-273,2.9,6,2,33.3,2.05,0.68,0.0,0.0,Iran
Mehdi Taremi,FW,33-348,2.9,5,2,40.0,1.74,0.69,0.0,0.0,Iran
Mohammad Mohebi,MF,27-193,2.7,2,1,50.0,0.74,0.37,0.5,1.0,Iran
Saman Ghoddos,MF,32-298,2.3,4,0,0.0,1.73,0.0,0.0,,Iran
Milad Mohammadi,DF,32-275,2.3,1,1,100.0,0.44,0.44,0.0,0.0,Iran
Hossein Kanaanizadegan,DF,32-100,1.5,1,1,100.0,0.67,0.67,0.0,0.0,Iran
Ehsan Hajsafi,DF,36-126,1.0,1,0,0.0,0.99,0.0,0.0,,Iran
Mohammad Ghorbani,MF,25-041,1.0,2,1,50.0,2.0,1.0,0.0,0.0,Iran
Saleh Hardani,DF,27-187,1.0,0,0,,0.0,0.0,,,Iran
Shahriar Moghanlou,FW,31-192,1.0,3,0,0.0,3.07,0.0,0.0,,Iran
Aria Yousefi,MF,24-070,0.5,1,1,100.0,2.0,2.0,0.0,0.0,Iran
Alireza Jahanbakhsh,"FW,MF",32-324,0.5,1,0,0.0,1.96,0.0,0.0,,Iran
Mehdi Ghayedi,FW,27-208,0.5,1,0,0.0,2.0,0.0,0.0,,Iran
Ali Alipour,FW,30-232,0.4,1,0,0.0,2.37,0.0,0.0,,Iran
Mehdi Torabi,MF,31-294,0.3,0,0,,0.0,0.0,,,Iran
Amirhossein Hosseinzadeh,FW,25-244,0.2,1,0,0.0,5.29,0.0,0.0,,Iran
Merchas Doski,DF,26-206,3.0,1,0,0.0,0.33,0.0,0.0,,Iraq
Akam Hashim,DF,27-319,3.0,1,0,0.0,0.33,0.0,0.0,,Iraq
Amir Al Ammari,MF,28-339,2.7,0,0,,0.0,0.0,,,Iraq
Ibrahim Bayesh,"MF,FW",26-061,2.6,1,0,0.0,0.38,0.0,0.0,,Iraq
Zidane Iqbal,MF,23-065,2.1,0,0,,0.0,0.0,,,Iraq
Ali Al Hamadi,FW,24-122,2.0,6,0,0.0,3.0,0.0,0.0,,Iraq
Hussein Ali,DF,24-122,1.8,1,0,0.0,0.56,0.0,0.0,,Iraq
Zaid Tahseen,DF,25-153,1.7,2,0,0.0,1.21,0.0,0.0,,Iraq
Ahmed Basil,GK,29-316,1.5,0,0,,0.0,0.0,,,Iraq
Ali Jasim,MF,22-162,1.4,4,1,25.0,2.79,0.7,0.0,0.0,Iraq
Ahmed Qasem,"MF,FW",22-354,1.4,0,0,,0.0,0.0,,,Iraq
Zaid Ismail,MF,24-179,1.3,0,0,,0.0,0.0,,,Iraq
Ayman Hussein,FW,30-101,1.3,3,1,33.3,2.35,0.78,0.33,1.0,Iraq
Jalal Hassan,GK,35-044,1.5,0,0,,0.0,0.0,,,Iraq
Frans Dhia Putros,DF,32-352,1.0,0,0,,0.0,0.0,,,Iraq
Rebin Sulaka,DF,34-080,0.5,1,0,0.0,2.09,0.0,0.0,,Iraq
Manaf Younis,DF,29-227,0.8,0,0,,0.0,0.0,,,Iraq
Marko Farji,MF,22-107,0.6,0,0,,0.0,0.0,,,Iraq
Ahmed Maknzi,DF,24-280,0.4,0,0,,0.0,0.0,,,Iraq
Ali Yousif,FW,30-163,0.4,0,0,,0.0,0.0,,,Iraq
Youssef Amyn,MF,22-314,0.3,0,0,,0.0,0.0,,,Iraq
Kevin Yakob,MF,25-264,0.3,1,0,0.0,3.75,0.0,0.0,,Iraq
Aimar Sher,MF,23-193,0.3,0,0,,0.0,0.0,,,Iraq
Mustafa Saadoon,DF,25-037,0.2,0,0,,0.0,0.0,,,Iraq
Mohanad Ali,FW,26-011,0.1,0,0,,0.0,0.0,,,Iraq
Yahia Fofana,GK,25-314,4.0,0,0,,0.0,0.0,,,Ivory Cost
Franck Kessié,MF,29-194,3.8,4,2,50.0,1.04,0.52,0.25,0.5,Ivory Cost
Yan Diomandé,"MF,FW",19-229,3.7,4,0,0.0,1.09,0.0,0.0,,Ivory Cost
Guéla Doué,DF,23-257,3.1,1,0,0.0,0.32,0.0,0.0,,Ivory Cost
Odilon Kossounou,DF,25-178,3.0,0,0,,0.0,0.0,,,Ivory Cost
Emmanuel Agbadou,DF,29-014,3.0,3,1,33.3,1.0,0.33,0.0,0.0,Ivory Cost
Ghislain Konan,DF,30-186,3.0,4,0,0.0,1.34,0.0,0.0,,Ivory Cost
Ibrahim Sangaré,MF,28-211,3.0,1,0,0.0,0.34,0.0,0.0,,Ivory Cost
Ange-Yoan Bonny,FW,22-249,2.6,1,1,100.0,0.38,0.38,0.0,0.0,Ivory Cost
Nicolas Pépé,FW,31-033,2.6,6,3,50.0,2.31,1.15,0.33,0.67,Ivory Cost
Christ Inao Oulaï,MF,20-086,2.3,2,0,0.0,0.87,0.0,0.0,,Ivory Cost
Amad Diallo,"MF,FW",23-355,2.1,8,4,50.0,3.89,1.95,0.25,0.5,Ivory Cost
Wilfried Singo,DF,25-188,1.9,2,0,0.0,1.05,0.0,0.0,,Ivory Cost
Elye Wahi,FW,23-180,1.2,3,2,66.7,2.45,1.64,0.0,0.0,Ivory Cost
Seko Fofana,MF,31-055,1.0,5,1,20.0,4.89,0.98,0.0,0.0,Ivory Cost
Ousmane Diomande,DF,22-209,1.0,0,0,,0.0,0.0,,,Ivory Cost
Christopher Opéri,DF,29-063,1.0,0,0,,0.0,0.0,,,Ivory Cost
Bazoumana Touré,MF,20-121,0.9,0,0,,0.0,0.0,,,Ivory Cost
Oumar Diakité,FW,22-193,0.3,0,0,,0.0,0.0,,,Ivory Cost
Evann Guessand,"FW,MF",25-000,0.2,1,0,0.0,5.29,0.0,0.0,,Ivory Cost
Simon Adingra,"FW,MF",24-181,0.2,0,0,,0.0,0.0,,,Ivory Cost
Jean Seri,MF,34-347,0.2,0,0,,0.0,0.0,,,Ivory Cost
Hiroki Ito,DF,27-050,4.0,1,0,0.0,0.25,0.0,0.0,,Japan
Zion Suzuki,GK,23-314,4.0,0,0,,0.0,0.0,,,Japan
Daichi Kamada,MF,29-330,3.7,3,2,66.7,0.82,0.55,0.67,1.0,Japan
Ayase Ueda,FW,27-294,3.6,9,4,44.4,2.52,1.12,0.22,0.5,Japan
Keito Nakamura,MF,25-338,3.4,5,2,40.0,1.47,0.59,0.2,0.5,Japan
Ritsu Doan,MF,28-015,3.1,1,0,0.0,0.32,0.0,0.0,,Japan
Kaishū Sano,MF,25-183,3.0,1,1,100.0,0.33,0.33,1.0,1.0,Japan
Daizen Maeda,MF,28-254,2.7,2,1,50.0,0.74,0.37,0.5,1.0,Japan
Shogo Taniguchi,DF,34-351,2.6,0,0,,0.0,0.0,,,Japan
Junya Itō,MF,33-114,2.4,3,1,33.3,1.25,0.42,0.33,1.0,Japan
Ao Tanaka,MF,27-294,2.1,2,0,0.0,0.93,0.0,0.0,,Japan
Takehiro Tomiyasu,DF,27-238,2.0,1,0,0.0,0.49,0.0,0.0,,Japan
Ko Itakura,DF,29-155,1.4,0,0,,0.0,0.0,,,Japan
Yukinari Sugawara,MF,26-003,1.6,2,2,100.0,1.22,1.22,0.0,0.0,Japan
Tsuyoshi Watanabe,DF,29-146,1.0,0,0,,0.0,0.0,,,Japan
Ayumu Seko,DF,26-024,1.0,0,0,,0.0,0.0,,,Japan
Takefusa Kubo,MF,25-027,0.8,1,0,0.0,1.22,0.0,0.0,,Japan
Junnosuke Suzuki,DF,22-354,0.5,0,0,,0.0,0.0,,,Japan
Kōki Ogawa,FW,28-327,0.5,3,0,0.0,6.43,0.0,0.0,,Japan
Yūto Nagatomo,"DF,MF",39-292,0.2,0,0,,0.0,0.0,,,Japan
Shuto Machino,FW,26-274,0.1,0,0,,0.0,0.0,,,Japan
Yuito Suzuki,"FW,MF",24-249,0.1,0,0,,0.0,0.0,,,Japan
Keisuke Gotō,FW,21-028,0.1,0,0,,0.0,0.0,,,Japan
Kento Shiogai,FW,21-097,0.1,0,0,,0.0,0.0,,,Japan
Yazeed Abulaila,GK,33-174,3.0,0,0,,0.0,0.0,,,Jordan
Yazan Al-Arab,DF,30-151,3.0,0,0,,0.0,0.0,,,Jordan
Noor Al Rawabdeh,MF,29-127,3.0,1,0,0.0,0.33,0.0,0.0,,Jordan
Ali Olwan,MF,26-097,3.0,6,3,50.0,2.01,1.01,0.17,0.33,Jordan
Mohannad Abu Taha,DF,23-149,2.9,1,0,0.0,0.34,0.0,0.0,,Jordan
Ihsan Haddad,DF,32-146,2.9,1,0,0.0,0.35,0.0,0.0,,Jordan
Abdallah Nasib,DF,32-126,2.9,0,0,,0.0,0.0,,,Jordan
Nizar Al Rashdan,MF,27-100,2.8,2,1,50.0,0.71,0.35,0.5,1.0,Jordan
Musa Al-Taamari,FW,29-021,2.4,8,3,37.5,3.35,1.26,0.13,0.33,Jordan
Husam Abu Dahab,DF,26-049,2.0,0,0,,0.0,0.0,,,Jordan
Odeh Al-Fakhouri,"MF,FW",20-221,1.6,2,1,50.0,1.22,0.61,0.0,0.0,Jordan
Mahmoud Al-Mardi,MF,32-268,1.4,1,1,100.0,0.69,0.69,0.0,0.0,Jordan
Mo Abualnadi,DF,25-143,0.8,0,0,,0.0,0.0,,,Jordan
Ali Azaizeh,MF,22-079,0.6,2,0,0.0,3.33,0.0,0.0,,Jordan
Salim Obaid,DF,34-165,0.2,0,0,,0.0,0.0,,,Jordan
Amer Jamous,MF,23-363,0.2,0,0,,0.0,0.0,,,Jordan
Saed Al-Rosan,DF,29-150,0.1,0,0,,0.0,0.0,,,Jordan
Mohammad Abu Hasheesh,DF,31-053,0.1,0,0,,0.0,0.0,,,Jordan
Mohammad Al-Dawud,"FW,MF",34-080,0.0,0,0,,0.0,0.0,,,Jordan
Sharara,FW,28-183,0.0,0,0,,0.0,0.0,,,Jordan
Raúl Rangel,GK,26-126,3.9,0,0,,0.0,0.0,,,Mexico
Roberto Alvarado,"FW,MF",27-297,3.8,5,0,0.0,1.33,0.0,0.0,,Mexico
Julián Quiñones,"FW,MF",29-099,3.7,11,5,45.5,3.0,1.36,0.27,0.6,Mexico
Jesús Gallardo,DF,31-320,3.1,3,0,0.0,0.95,0.0,0.0,,Mexico
Jorge Sánchez,DF,28-203,3.0,1,1,100.0,0.33,0.33,0.0,0.0,Mexico
Johan Vásquez,DF,27-252,3.0,1,0,0.0,0.33,0.0,0.0,,Mexico
César Montes,DF,29-127,3.0,1,1,100.0,0.33,0.33,0.0,0.0,Mexico
Erik Lira,MF,26-054,2.8,0,0,,0.0,0.0,,,Mexico
Raúl Jiménez,FW,35-057,2.5,10,4,40.0,3.96,1.59,0.2,0.5,Mexico
Luis Romo,MF,31-026,2.3,2,1,50.0,0.88,0.44,0.5,1.0,Mexico
Israel Reyes,DF,26-039,2.2,2,0,0.0,0.89,0.0,0.0,,Mexico
Edson Álvarez,"MF,DF",28-250,2.2,0,0,,0.0,0.0,,,Mexico
Brian Gutiérrez,MF,23-014,1.9,5,0,0.0,2.68,0.0,0.0,,Mexico
Gilberto Mora,MF,17-260,1.7,4,0,0.0,2.35,0.0,0.0,,Mexico
Álvaro Fidalgo,MF,29-083,0.9,1,1,100.0,1.07,1.07,1.0,1.0,Mexico
Mateo Chávez,DF,22-050,0.9,1,1,100.0,1.17,1.17,1.0,1.0,Mexico
Guillermo Martínez Ayala,FW,31-108,0.7,0,0,,0.0,0.0,,,Mexico
Obed Vargas,MF,20-330,0.7,1,1,100.0,1.36,1.36,0.0,0.0,Mexico
Santiago Giménez,FW,25-074,0.6,1,1,100.0,1.61,1.61,0.0,0.0,Mexico
Orbelín Pineda,"FW,MF",30-099,0.3,1,0,0.0,2.9,0.0,0.0,,Mexico
Luis Chávez,MF,30-167,0.3,0,0,,0.0,0.0,,,Mexico
Armando González,FW,23-072,0.2,0,0,,0.0,0.0,,,Mexico
Guillermo Ochoa,GK,40-353,0.1,0,0,,0.0,0.0,,,Mexico
Alexis Vega,"FW,MF",28-218,0.1,0,0,,0.0,0.0,,,Mexico
César Huerta,"FW,MF",25-210,0.1,0,0,,0.0,0.0,,,Mexico
Yassine Bounou,GK,35-087,4.3,0,0,,0.0,0.0,,,Morocco
Achraf Hakimi,DF,27-239,4.3,13,4,30.8,3.0,0.92,0.08,0.25,Morocco
Neil El Aynaoui,MF,24-364,4.2,6,2,33.3,1.41,0.47,0.0,0.0,Morocco
Ismael Saibari,FW,25-154,4.0,10,3,30.0,2.5,0.75,0.3,1.0,Morocco
Chadi Riad,DF,23-014,3.8,1,0,0.0,0.26,0.0,0.0,,Morocco
Bilal El Khannouss,MF,22-052,3.8,6,4,66.7,1.6,1.07,0.0,0.0,Morocco
Brahim Díaz,MF,26-332,3.3,5,1,20.0,1.53,0.31,0.0,0.0,Morocco
Issa Diop,DF,29-173,3.3,1,1,100.0,0.3,0.3,1.0,1.0,Morocco
Noussair Mazraoui,DF,28-229,3.3,0,0,,0.0,0.0,,,Morocco
Azzedine Ounahi,MF,26-073,2.9,2,0,0.0,0.69,0.0,0.0,,Morocco
Ayyoub Bouaddi,MF,18-272,2.9,3,0,0.0,1.05,0.0,0.0,,Morocco
Anass Salah-Eddine,DF,24-164,1.5,1,0,0.0,0.65,0.0,0.0,,Morocco
Sofyan Amrabat,MF,29-314,1.0,0,0,,0.0,0.0,,,Morocco
Redouane Halhal,DF,23-118,1.0,0,0,,0.0,0.0,,,Morocco
Ayoub El Kaabi,FW,33-005,0.8,3,2,66.7,3.91,2.61,0.0,0.0,Morocco
Samir El Mourabet,MF,20-268,0.9,0,0,,0.0,0.0,,,Morocco
