Player,Pos,Age,90s,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Country
Mathew Ryan,GK,34-088,0.0,0,0,,0.0,0.0,,,Australia
Konrad Laimer,"MF,DF",29-039,4.0,1,0,0.0,0.25,0.0,0.0,,Austria
Marcel Sabitzer,MF,32-110,4.0,5,2,40.0,1.25,0.5,0.2,0.5,Austria
Alexander Schlager,GK,30-154,4.0,0,0,,0.0,0.0,,,Austria
Stefan Posch,DF,29-052,3.7,3,0,0.0,0.82,0.0,0.0,,Austria
Nicolas Seiwald,MF,25-062,3.5,3,0,0.0,0.86,0.0,0.0,,Austria
David Alaba,DF,34-011,3.1,2,0,0.0,0.65,0.0,0.0,,Austria
Romano Schmid,"MF,FW",26-159,2.9,2,1,50.0,0.68,0.34,0.5,1.0,Austria
Xaver Schlager,MF,28-280,2.6,1,0,0.0,0.38,0.0,0.0,,Austria
Kevin Danso,DF,27-289,2.7,1,0,0.0,0.37,0.0,0.0,,Austria
Paul Wanner,MF,20-194,2.6,1,0,0.0,0.38,0.0,0.0,,Austria
Michael Gregoritsch,FW,32-078,2.1,1,0,0.0,0.48,0.0,0.0,,Austria
Philipp Lienhart,DF,29-359,2.0,1,0,0.0,0.5,0.0,0.0,,Austria
Phillipp Mwene,DF,32-157,1.6,1,0,0.0,0.61,0.0,0.0,,Austria
Marko Arnautović,FW,37-077,1.6,3,3,100.0,1.87,1.87,0.33,0.33,Austria
Saša Kalajdžić,FW,28-363,0.9,4,1,25.0,4.68,1.17,0.25,1.0,Austria
Florian Grillitsch,"DF,MF",30-332,1.0,0,0,,0.0,0.0,,,Austria
Carney Chukwuemeka,MF,22-258,0.9,2,1,50.0,2.17,1.08,0.0,0.0,Austria
Alexander Prass,"DF,MF",25-040,0.3,0,0,,0.0,0.0,,,Austria
Marco Friedl,DF,28-111,0.3,0,0,,0.0,0.0,,,Austria
Patrick Wimmer,"FW,MF",25-036,0.2,1,0,0.0,4.29,0.0,0.0,,Austria
Thibaut Courtois,GK,34-055,4.3,0,0,,0.0,0.0,,,Belgium
Brandon Mechele,DF,33-158,4.3,5,1,20.0,1.15,0.23,0.0,0.0,Belgium
Youri Tielemans,MF,29-059,4.3,9,3,33.3,2.11,0.7,0.11,0.33,Belgium
Leandro Trossard,"MF,FW",31-213,4.0,13,3,23.1,3.26,0.75,0.15,0.67,Belgium
Kevin De Bruyne,MF,35-007,3.3,18,4,22.2,5.45,1.21,0.06,0.25,Belgium
Timothy Castagne,DF,30-212,3.3,2,0,0.0,0.6,0.0,0.0,,Belgium
Maxim De Cuyper,DF,25-195,3.2,9,6,66.7,2.77,1.85,0.0,0.0,Belgium
Jeremy Doku,MF,24-039,2.2,3,1,33.3,1.38,0.46,0.0,0.0,Belgium
Charles De Ketelaere,"FW,MF",25-117,2.2,1,1,100.0,0.46,0.46,0.0,0.0,Belgium
Arthur Theate,DF,26-041,2.5,5,1,20.0,1.97,0.39,0.0,0.0,Belgium
Thomas Meunier,DF,34-296,2.1,2,1,50.0,0.95,0.47,0.0,0.0,Belgium
Hans Vanaken,MF,33-315,2.1,4,0,0.0,1.89,0.0,0.0,,Belgium
Nathan Ngoy,DF,23-025,1.7,1,0,0.0,0.58,0.0,0.0,,Belgium
Romelu Lukaku,FW,33-053,2.0,5,2,40.0,2.53,1.01,0.4,1.0,Belgium
Nicolas Raskin,MF,25-132,1.8,1,0,0.0,0.55,0.0,0.0,,Belgium
Amadou Onana,MF,24-323,1.0,2,0,0.0,2.09,0.0,0.0,,Belgium
Alexis Saelemaekers,MF,27-008,0.8,4,1,25.0,4.74,1.18,0.25,1.0,Belgium
Dodi Lukebakio,"FW,MF",28-284,1.1,5,1,20.0,4.59,0.92,0.0,0.0,Belgium
Diego Moreira,MF,21-333,0.6,0,0,,0.0,0.0,,,Belgium
Matias Fernandez-Pardo,"FW,MF",21-152,0.5,3,0,0.0,6.14,0.0,0.0,,Belgium
Nikola Vasilj,GK,30-215,4.0,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Ermedin Demirović,FW,28-102,3.9,4,4,100.0,1.02,1.02,0.0,0.0,Bosnia And Herzegovina
Sead Kolašinac,DF,33-015,3.7,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Nikola Katić,DF,29-268,3.5,2,0,0.0,0.57,0.0,0.0,,Bosnia And Herzegovina
Kerim Alajbegović,MF,18-287,3.1,4,1,25.0,1.3,0.32,0.25,1.0,Bosnia And Herzegovina
Amar Dedić,DF,23-321,3.0,2,1,50.0,0.67,0.33,0.0,0.0,Bosnia And Herzegovina
Tarik Muharemovic,DF,23-127,2.9,1,0,0.0,0.35,0.0,0.0,,Bosnia And Herzegovina
Ivan Šunjić,MF,29-269,2.2,1,1,100.0,0.46,0.46,0.0,0.0,Bosnia And Herzegovina
Edin Džeko,FW,40-110,2.0,3,0,0.0,1.53,0.0,0.0,,Bosnia And Herzegovina
Benjamin Tahirovic,MF,23-124,2.6,1,0,0.0,0.38,0.0,0.0,,Bosnia And Herzegovina
Esmir Bajraktarevic,MF,21-117,2.6,3,2,66.7,1.17,0.78,0.0,0.0,Bosnia And Herzegovina
Amar Memić,MF,25-166,2.5,3,1,33.3,1.21,0.4,0.0,0.0,Bosnia And Herzegovina
Stjepan Radeljić,DF,28-303,2.0,1,0,0.0,0.5,0.0,0.0,,Bosnia And Herzegovina
Ivan Bašić,MF,24-066,2.0,4,0,0.0,2.01,0.0,0.0,,Bosnia And Herzegovina
Armin Gigovic,MF,24-090,0.9,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Jovo Lukić,FW,27-219,0.7,3,2,66.7,4.03,2.69,0.33,0.5,Bosnia And Herzegovina
Arjan Malic,DF,20-311,0.5,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Ermin Mahmić,MF,21-113,0.8,4,2,50.0,5.29,2.65,0.5,1.0,Bosnia And Herzegovina
Samed Baždar,FW,22-155,0.3,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Dennis Hadžikadunić,DF,27-361,0.3,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Dženis Burnić,MF,28-044,0.2,1,0,0.0,5.63,0.0,0.0,,Bosnia And Herzegovina
Haris Tabaković,FW,32-015,0.2,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Amir Hadžiahmetović,MF,29-119,0.1,0,0,,0.0,0.0,,,Bosnia And Herzegovina
Alisson,GK,33-272,4.0,0,0,,0.0,0.0,,,Brazil
Gabriel Magalhães,DF,28-194,4.0,1,0,0.0,0.25,0.0,0.0,,Brazil
Marquinhos,DF,32-048,4.0,2,0,0.0,0.5,0.0,0.0,,Brazil
Douglas Santos,DF,32-101,3.9,2,0,0.0,0.51,0.0,0.0,,Brazil
Vinicius Júnior,FW,25-354,3.9,15,10,66.7,3.86,2.57,0.27,0.4,Brazil
Bruno Guimarães,MF,28-227,3.8,6,1,16.7,1.6,0.27,0.0,0.0,Brazil
Casemiro,MF,34-128,3.2,3,2,66.7,0.93,0.62,0.33,0.5,Brazil
Lucas Paquetá,MF,28-308,2.6,5,1,20.0,1.93,0.39,0.0,0.0,Brazil
Danilo,DF,34-351,3.5,0,0,,0.0,0.0,,,Brazil
Matheus Cunha,FW,27-035,2.6,10,5,50.0,3.86,1.93,0.3,0.6,Brazil
Rayan,FW,19-332,2.5,3,1,33.3,1.22,0.41,0.0,0.0,Brazil
Raphinha,"MF,FW",29-199,1.4,3,2,66.7,2.09,1.4,0.0,0.0,Brazil
Igor Thiago,FW,25-005,0.7,2,1,50.0,2.95,1.48,0.0,0.0,Brazil
Roger Ibanez,DF,27-220,0.5,0,0,,0.0,0.0,,,Brazil
Endrick,FW,19-345,0.9,1,0,0.0,1.11,0.0,0.0,,Brazil
Gabriel Martinelli,"FW,MF",25-013,0.9,2,1,50.0,2.34,1.17,0.5,1.0,Brazil
Fabinho,"DF,MF",32-251,0.8,1,0,0.0,1.27,0.0,0.0,,Brazil
Luiz Henrique,"FW,MF",25-180,0.3,0,0,,0.0,0.0,,,Brazil
Danilo Santos,MF,25-063,0.2,2,1,50.0,8.18,4.09,0.0,0.0,Brazil
Neymar,"FW,MF",34-146,0.2,1,1,100.0,6.0,6.0,0.0,0.0,Brazil
Éderson Silva,MF,26-359,0.1,1,0,0.0,9.0,0.0,0.0,,Brazil
Alex Sandro,"DF,MF",35-156,0.1,0,0,,0.0,0.0,,,Brazil
Diney,DF,31-169,4.3,4,2,50.0,0.92,0.46,0.0,0.0,Cabo Verde
Pico,DF,34-018,4.3,2,0,0.0,0.46,0.0,0.0,,Cabo Verde
Vozinha,GK,40-032,4.3,0,0,,0.0,0.0,,,Cabo Verde
Kevin Pina,MF,29-159,3.9,5,1,20.0,1.29,0.26,0.2,1.0,Cabo Verde
Ryan Mendes,"FW,MF",36-178,3.7,6,0,0.0,1.64,0.0,0.0,,Cabo Verde
Steven Moreira,DF,31-326,3.3,2,0,0.0,0.6,0.0,0.0,,Cabo Verde
Sidny Lopes Cabral,DF,23-290,3.2,4,2,50.0,1.26,0.63,0.25,0.5,Cabo Verde
Jamiro Monteiro,MF,32-224,3.1,5,1,20.0,1.6,0.32,0.0,0.0,Cabo Verde
Deroy Duarte,MF,27-001,2.9,3,2,66.7,1.02,0.68,0.33,0.5,Cabo Verde
Dailon Livramento,FW,25-062,1.9,1,0,0.0,0.52,0.0,0.0,,Cabo Verde
Laros Duarte,MF,29-127,1.8,3,3,100.0,1.63,1.63,0.0,0.0,Cabo Verde
Jovane Cabral,FW,28-021,1.5,2,0,0.0,1.29,0.0,0.0,,Cabo Verde
Nuno da Costa,FW,35-145,1.8,1,0,0.0,0.57,0.0,0.0,,Cabo Verde
Willy Semedo,FW,32-069,1.5,3,0,0.0,2.06,0.0,0.0,,Cabo Verde
João Paulo Fernandes,DF,28-040,1.2,2,0,0.0,1.71,0.0,0.0,,Cabo Verde
Wagner Pina,DF,23-244,1.0,1,0,0.0,1.01,0.0,0.0,,Cabo Verde
Gilson Benchimol,FW,24-188,0.9,0,0,,0.0,0.0,,,Cabo Verde
Garry Rodrigues,MF,35-220,0.8,1,0,0.0,1.18,0.0,0.0,,Cabo Verde
Telmo Arcanjo,MF,25-014,0.6,0,0,,0.0,0.0,,,Cabo Verde
Hélio Varela,FW,24-063,1.2,3,1,33.3,2.6,0.87,0.33,1.0,Cabo Verde
Yannick,MF,30-188,0.4,1,0,0.0,2.81,0.0,0.0,,Cabo Verde
Maxime Crépeau,GK,32-051,4.0,0,0,,0.0,0.0,,,Canada
Alistair Johnston,DF,27-266,4.0,4,2,50.0,1.0,0.5,0.0,0.0,Canada
Richie Laryea,DF,31-175,3.9,2,1,50.0,0.51,0.26,0.0,0.0,Canada
Jonathan David,FW,26-168,3.7,15,7,46.7,4.09,1.91,0.2,0.43,Canada
Derek Cornelius,DF,28-218,3.5,5,1,20.0,1.43,0.29,0.0,0.0,Canada
Tajon Buchanan,MF,27-143,3.2,5,2,40.0,1.55,0.62,0.0,0.0,Canada
Stephen Eustáquio,MF,29-192,3.4,4,1,25.0,1.19,0.3,0.25,1.0,Canada
Luc De Fougerolles,DF,20-262,3.1,2,1,50.0,0.64,0.32,0.0,0.0,Canada
Tani Oluwaseyi,FW,26-047,2.2,6,3,50.0,2.74,1.37,0.0,0.0,Canada
Nathan Saliba,MF,22-144,2.0,3,1,33.3,1.48,0.49,0.33,1.0,Canada
Cyle Larin,FW,31-075,1.8,9,4,44.4,5.0,2.22,0.22,0.5,Canada
Liam Millar,MF,26-277,1.8,1,0,0.0,0.56,0.0,0.0,,Canada
Ali Ahmed,MF,25-264,1.7,2,1,50.0,1.15,0.57,0.0,0.0,Canada
Ismaël Koné,MF,24-015,1.6,2,0,0.0,1.23,0.0,0.0,,Canada
Moïse Bombito,DF,26-093,1.1,1,1,100.0,0.87,0.87,0.0,0.0,Canada
Mathieu Choinière,MF,27-144,0.6,0,0,,0.0,0.0,,,Canada
Jacob Shaffelburg,MF,26-217,0.9,3,0,0.0,3.42,0.0,0.0,,Canada
Promise David,FW,24-363,0.7,5,3,60.0,6.72,4.03,0.2,0.33,Canada
Niko Sigur,"DF,MF",22-295,0.4,1,0,0.0,2.25,0.0,0.0,,Canada
Alphonso Davies,"DF,FW",25-241,0.2,0,0,,0.0,0.0,,,Canada
Jonathan Osorio,MF,34-019,0.0,0,0,,0.0,0.0,,,Canada
Jhon Lucumí,DF,28-009,4.0,1,0,0.0,0.25,0.0,0.0,,Colombia
Davinson Sánchez,DF,30-023,4.0,5,2,40.0,1.25,0.5,0.0,0.0,Colombia
Camilo Vargas,GK,37-118,4.0,0,0,,0.0,0.0,,,Colombia
Luis Díaz,FW,29-173,4.0,16,5,31.3,4.02,1.26,0.06,0.2,Colombia
Gustavo Puerta,MF,22-347,3.9,12,4,33.3,3.09,1.03,0.0,0.0,Colombia
Jefferson Lerma,MF,31-253,3.7,5,1,20.0,1.37,0.27,0.0,0.0,Colombia
Jhon Arias,MF,28-287,3.5,8,4,50.0,2.31,1.15,0.13,0.25,Colombia
James Rodríguez,FW,34-358,2.8,6,3,50.0,2.18,1.09,0.0,0.0,Colombia
Daniel Muñoz,DF,30-040,3.0,3,2,66.7,0.99,0.66,0.67,1.0,Colombia
Johan Mojica,DF,33-318,3.0,3,2,66.7,1.0,0.67,0.0,0.0,Colombia
Luis Suárez,FW,28-215,2.8,7,0,0.0,2.52,0.0,0.0,,Colombia
Jhon Córdoba,FW,33-055,1.1,2,1,50.0,1.82,0.91,0.0,0.0,Colombia
Deiver Machado,DF,32-306,1.0,0,0,,0.0,0.0,,,Colombia
Santiago Arias,DF,34-173,1.0,0,0,,0.0,0.0,,,Colombia
Richard Ríos,MF,26-033,1.1,4,1,25.0,3.56,0.89,0.0,0.0,Colombia
Juan Quintero,"FW,MF",33-168,0.7,3,0,0.0,4.09,0.0,0.0,,Colombia
Jaminton Campaz,"FW,MF",26-042,0.2,4,2,50.0,18.0,9.0,0.25,0.5,Colombia
Kevin Castaño,MF,25-279,0.2,0,0,,0.0,0.0,,,Colombia
Cucho,"FW,MF",27-076,0.1,0,0,,0.0,0.0,,,Colombia
Andrés Gómez,MF,23-296,0.0,0,0,,0.0,0.0,,,Colombia
Chancel Mbemba,DF,31-331,4.0,1,0,0.0,0.25,0.0,0.0,,Congo Dr
Lionel Mpasi,GK,31-338,4.0,0,0,,0.0,0.0,,,Congo Dr
Axel Tuanzebe,DF,28-233,4.0,0,0,,0.0,0.0,,,Congo Dr
Yoane Wissa,FW,29-305,4.0,11,3,27.3,2.75,0.75,0.18,0.67,Congo Dr
Aaron Wan-Bissaka,DF,28-221,3.9,0,0,,0.0,0.0,,,Congo Dr
Samuel Moutoussamy,MF,29-327,3.7,3,0,0.0,0.82,0.0,0.0,,Congo Dr
Arthur Masuaku,DF,32-240,3.5,0,0,,0.0,0.0,,,Congo Dr
Ngal'Ayel Mukau,MF,21-244,2.2,1,0,0.0,0.46,0.0,0.0,,Congo Dr
Cédric Bakambu,FW,35-085,2.1,3,0,0.0,1.42,0.0,0.0,,Congo Dr
Noah Sadiki,MF,21-200,2.9,0,0,,0.0,0.0,,,Congo Dr
Steve Kapuadi,DF,28-066,2.0,1,0,0.0,0.5,0.0,0.0,,Congo Dr
Edo Kayembe,MF,28-032,1.8,2,1,50.0,1.13,0.56,0.0,0.0,Congo Dr
Brian Cipenga,"MF,FW",28-116,1.6,6,1,16.7,3.7,0.62,0.17,1.0,Congo Dr
Nathanaël Mbuku,"MF,FW",24-111,1.6,3,2,66.7,1.89,1.26,0.0,0.0,Congo Dr
Meschak Elia,"FW,MF",28-333,0.5,2,1,50.0,3.91,1.96,0.0,0.0,Congo Dr
Joris Kayembe,"DF,FW",31-331,0.5,1,0,0.0,2.0,0.0,0.0,,Congo Dr
Fiston Mayele,FW,32-011,0.5,5,1,20.0,10.71,2.14,0.2,1.0,Congo Dr
Simon Banza,"FW,MF",29-326,0.4,0,0,,0.0,0.0,,,Congo Dr
Charles Pickel,"DF,MF",29-051,0.4,1,0,0.0,2.57,0.0,0.0,,Congo Dr
Theo Bongonda,"FW,MF",30-227,0.4,1,0,0.0,2.65,0.0,0.0,,Congo Dr
Gédéon Kalulu,DF,28-310,0.1,0,0,,0.0,0.0,,,Congo Dr
Dominik Livaković,GK,31-177,4.0,0,0,,0.0,0.0,,,Croatia
Ivan Perišić,"MF,DF",37-153,4.0,2,2,100.0,0.5,0.5,0.5,0.5,Croatia
Josip Stanišić,"DF,MF",26-094,4.0,0,0,,0.0,0.0,,,Croatia
Josip Šutalo,DF,26-127,4.0,1,0,0.0,0.25,0.0,0.0,,Croatia
Martin Baturina,"MF,FW",23-139,3.6,3,1,33.3,0.84,0.28,0.33,1.0,Croatia
Luka Modrić,MF,40-299,3.5,1,0,0.0,0.28,0.0,0.0,,Croatia
Petar Sučić,"MF,FW",22-253,3.2,3,2,66.7,0.93,0.62,0.33,0.5,Croatia
Mateo Kovačić,MF,32-060,3.0,5,4,80.0,1.67,1.33,0.0,0.0,Croatia
Marin Pongračić,DF,28-297,3.0,1,0,0.0,0.33,0.0,0.0,,Croatia
Nikola Vlašić,MF,28-274,2.1,3,1,33.3,1.43,0.48,0.33,1.0,Croatia
Ante Budimir,FW,34-348,1.7,3,1,33.3,1.74,0.58,0.33,1.0,Croatia
Joško Gvardiol,DF,24-163,1.5,1,0,0.0,0.65,0.0,0.0,,Croatia
Petar Musa,FW,28-123,1.2,1,1,100.0,0.82,0.82,1.0,1.0,Croatia
Mario Pašalić,MF,31-146,1.4,4,1,25.0,2.93,0.73,0.0,0.0,Croatia
Marco Pašalić,MF,25-294,1.1,3,2,66.7,2.73,1.82,0.0,0.0,Croatia
Luka Vušković,DF,19-131,0.7,0,0,,0.0,0.0,,,Croatia
Igor Matanović,FW,23-096,1.1,4,2,50.0,3.79,1.89,0.0,0.0,Croatia
Andrej Kramarić,"FW,MF",35-016,0.7,1,0,0.0,1.53,0.0,0.0,,Croatia
Luka Sučić,"FW,MF",23-300,0.2,1,0,0.0,4.74,0.0,0.0,,Croatia
Leandro Bacuna,MF,34-314,3.0,6,1,16.7,2.0,0.33,0.0,0.0,Curaçao
Sherel Floranus,DF,27-312,3.0,2,0,0.0,0.67,0.0,0.0,,Curaçao
Armando Obispo,DF,27-118,3.0,0,0,,0.0,0.0,,,Curaçao
Eloy Room,GK,37-145,3.0,0,0,,0.0,0.0,,,Curaçao
Juninho Bacuna,MF,28-328,2.8,5,1,20.0,1.77,0.35,0.0,0.0,Curaçao
Tahith Chong,MF,26-209,2.7,4,2,50.0,1.46,0.73,0.0,0.0,Curaçao
Deveron Fonville,DF,23-046,2.7,0,0,,0.0,0.0,,,Curaçao
Jürgen Locadia,FW,32-236,2.6,1,0,0.0,0.38,0.0,0.0,,Curaçao
Livano Comenencia,MF,22-148,2.6,5,2,40.0,1.93,0.77,0.2,0.5,Curaçao
