Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country,Pos_sh,Age_sh,90s_sh,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Pos_misc,Age_misc,90s_misc,Fls,Fld,Off,Crs,Int,TklW,Pos_gk,Age_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save_pct,CS,CS_pct,match_name,Player_tm,Height,Foot,International matches,Goals,TM_Position,Pos_tm,Value_M,Age_tm
Liam Millar,MF,26-277,3.0,2,162.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,Canada,MF,26-277,1.8,1.0,0.0,0.0,0.56,0.0,0.0,,MF,26-277,1.8,3.0,1.0,0.0,10.0,0.0,4.0,,,,,,,,,,,,,,liam millar,Liam Millar,"1,81m",right,44,1,Left Winger,FW,3.0,26
Ali Ahmed,MF,25-264,3.0,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Canada,MF,25-264,1.7,2.0,1.0,50.0,1.15,0.57,0.0,0.0,MF,25-264,1.7,0.0,3.0,0.0,11.0,2.0,0.0,,,,,,,,,,,,,,ali ahmed,Ali Ahmed,"1,80m",right,27,1,Left Midfield,MF,5.0,25
Ismaël Koné,MF,24-015,2.0,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Canada,MF,24-015,1.6,2.0,0.0,0.0,1.23,0.0,0.0,,MF,24-015,1.6,1.0,3.0,0.0,3.0,3.0,2.0,,,,,,,,,,,,,,ismael kone,Ismaël Koné,"1,88m",right,42,4,Central Midfield,MF,25.0,24
Moïse Bombito,DF,26-093,2.0,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Canada,DF,26-093,1.1,1.0,1.0,100.0,0.87,0.87,0.0,0.0,DF,26-093,1.1,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,moise bombito,Moïse Bombito,"1,90m",right,22,0,Centre-Back,DF,7.0,26
Mathieu Choinière,MF,27-144,1.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Canada,MF,27-144,0.6,0.0,0.0,,0.0,0.0,,,MF,27-144,0.6,1.0,1.0,0.0,4.0,2.0,1.0,,,,,,,,,,,,,,mathieu choiniere,Mathieu Choinière,"1,73m",right,25,0,Central Midfield,MF,0.8,27
Jacob Shaffelburg,MF,26-217,4.0,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Canada,MF,26-217,0.9,3.0,0.0,0.0,3.42,0.0,0.0,,MF,26-217,0.9,1.0,0.0,0.0,11.0,2.0,1.0,,,,,,,,,,,,,,jacob shaffelburg,Jacob Shaffelburg,"1,81m",left,35,6,Left Winger,FW,2.5,26
Promise David,FW,24-363,3.0,0,67.0,0.7,1.0,1.0,0.0,0.0,1.34,1.34,Canada,FW,24-363,0.7,5.0,3.0,60.0,6.72,4.03,0.2,0.33,FW,24-363,0.7,2.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,promise david,Promise David,"1,95m",right,13,4,Centre-Forward,FW,17.0,24
Niko Sigur,"DF,MF",22-295,2.0,0,40.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,Canada,"DF,MF",22-295,0.4,1.0,0.0,0.0,2.25,0.0,0.0,,"DF,MF",22-295,0.4,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,niko sigur,Niko Sigur,"1,78m",right,21,2,Defensive Midfield,MF,4.0,22
Alphonso Davies,"DF,FW",25-241,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada,"DF,FW",25-241,0.2,0.0,0.0,,0.0,0.0,,,"DF,FW",25-241,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,alphonso davies,Alphonso Davies,"1,83m",left,59,15,Left-Back,DF,40.0,25
Jonathan Osorio,MF,34-019,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,MF,34-019,0.0,0.0,0.0,,0.0,0.0,,,MF,34-019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,jonathan osorio,Jonathan Osorio,"1,75m",both,92,10,Central Midfield,MF,1.0,34
Owen Goodman,GK,22-216,0.0,0,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owen goodman,Owen Goodman,"1,93m",left,-,0,Goalkeeper,GK,0.55,22
Alfie Jones,"DF,MF",28-267,0.0,0,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alfie jones,Alfie Jones,"1,91m",right,2,0,Centre-Back,DF,6.0,28
Jayden Nelson,"FW,MF",23-278,0.0,0,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jayden nelson,Jayden Nelson,"1,70m",right,15,3,Left Winger,FW,2.0,23
Dayne St. Clair,GK,29-053,0.0,0,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dayne st. clair,Dayne St. Clair,"1,91m",left,20,0,Goalkeeper,GK,3.5,29
Joel Waterman,DF,30-158,0.0,0,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joel waterman,Joel Waterman,"1,85m",right,17,0,Centre-Back,DF,2.0,30
Jhon Lucumí,DF,28-009,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Colombia,DF,28-009,4.0,1.0,0.0,0.0,0.25,0.0,0.0,,DF,28-009,4.0,4.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,jhon lucumi,Jhon Lucumí,"1,87m",left,40.0,1,Centre-Back,DF,22.0,28
Davinson Sánchez,DF,30-023,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,DF,30-023,4.0,5.0,2.0,40.0,1.25,0.5,0.0,0.0,DF,30-023,4.0,3.0,3.0,1.0,0.0,5.0,2.0,,,,,,,,,,,,,,davinson sanchez,Davinson Sánchez,"1,88m",right,82.0,4,Centre-Back,DF,16.0,30
Camilo Vargas,GK,37-118,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,GK,37-118,4.0,0.0,0.0,,0.0,0.0,,,GK,37-118,4.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,37-118,4.0,4.0,360.0,4.0,1.0,0.25,5.0,4.0,80.0,3.0,75.0,camilo vargas,Camilo Vargas,"1,83m",left,45.0,0,Goalkeeper,GK,0.45,37
Luis Díaz,FW,29-173,4.0,4,358.0,4.0,1.0,1.0,0.0,0.0,0.25,0.25,Colombia,FW,29-173,4.0,16.0,5.0,31.3,4.02,1.26,0.06,0.2,FW,29-173,4.0,4.0,5.0,9.0,3.0,0.0,0.0,,,,,,,,,,,,,,luis diaz,Luis Díaz,"1,79m",right,77.0,23,Left Winger,FW,70.0,29
Gustavo Puerta,MF,22-347,4.0,4,349.0,3.9,0.0,1.0,1.0,0.0,0.0,0.26,Colombia,MF,22-347,3.9,12.0,4.0,33.3,3.09,1.03,0.0,0.0,MF,22-347,3.9,8.0,7.0,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,gustavo puerta,Gustavo Puerta,"1,73m",right,9.0,1,Central Midfield,MF,10.0,22
Jefferson Lerma,MF,31-253,4.0,4,329.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,Colombia,MF,31-253,3.7,5.0,1.0,20.0,1.37,0.27,0.0,0.0,MF,31-253,3.7,3.0,5.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,jefferson lerma,Jefferson Lerma,"1,80m",right,68.0,5,Defensive Midfield,MF,6.0,31
Jhon Arias,MF,28-287,4.0,4,312.0,3.5,1.0,0.0,1.0,0.0,0.29,0.0,Colombia,MF,28-287,3.5,8.0,4.0,50.0,2.31,1.15,0.13,0.25,MF,28-287,3.5,5.0,2.0,0.0,4.0,2.0,6.0,,,,,,,,,,,,,,jhon arias,Jhon Arias,"1,68m",right,41.0,6,Right Winger,FW,15.0,28
James Rodríguez,FW,34-358,4.0,4,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,FW,34-358,2.8,6.0,3.0,50.0,2.18,1.09,0.0,0.0,FW,34-358,2.8,0.0,3.0,0.0,13.0,1.0,0.0,,,,,,,,,,,,,,james rodriguez,James Rodríguez,"1,81m",left,129.0,31,Attacking Midfield,MF,1.5,34
Daniel Muñoz,DF,30-040,4.0,3,274.0,3.0,2.0,0.0,0.0,0.0,0.66,0.0,Colombia,DF,30-040,3.0,3.0,2.0,66.7,0.99,0.66,0.67,1.0,DF,30-040,3.0,5.0,1.0,2.0,5.0,5.0,3.0,,,,,,,,,,,,,,daniel munoz,Daniel Muñoz,"1,80m",right,49.0,5,Right-Back,DF,22.0,30
Johan Mojica,DF,33-318,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Colombia,DF,33-318,3.0,3.0,2.0,66.7,1.0,0.67,0.0,0.0,DF,33-318,3.0,1.0,4.0,0.0,8.0,3.0,3.0,,,,,,,,,,,,,,johan mojica,Johan Mojica,"1,84m",left,47.0,1,Left-Back,DF,1.5,33
Luis Suárez,FW,28-215,4.0,2,250.0,2.8,0.0,1.0,0.0,0.0,0.0,0.36,Colombia,FW,28-215,2.8,7.0,0.0,0.0,2.52,0.0,0.0,,FW,28-215,2.8,5.0,6.0,1.0,2.0,0.0,4.0,,,,,,,,,,,,,,luis suarez,Luis Suárez,"1,79m",right,15.0,5,Centre-Forward,FW,30.0,28
Jhon Córdoba,FW,33-055,3.0,2,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,FW,33-055,1.1,2.0,1.0,50.0,1.82,0.91,0.0,0.0,FW,33-055,1.1,1.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,jhon cordoba,Jhon Córdoba,"1,86m",right,23.0,6,Centre-Forward,FW,10.0,33
Deiver Machado,DF,32-306,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,DF,32-306,1.0,0.0,0.0,,0.0,0.0,,,DF,32-306,1.0,1.0,2.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,deiver machado,Deiver Machado,"1,73m",left,16.0,0,Left-Back,DF,1.8,32
Santiago Arias,DF,34-173,1.0,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,DF,34-173,1.0,0.0,0.0,,0.0,0.0,,,DF,34-173,1.0,1.0,0.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,santiago arias,Santiago Arias,"1,77m",right,69.0,0,Right-Back,DF,1.2,34
Richard Ríos,MF,26-033,4.0,0,101.0,1.1,0.0,0.0,1.0,0.0,0.0,0.0,Colombia,MF,26-033,1.1,4.0,1.0,25.0,3.56,0.89,0.0,0.0,MF,26-033,1.1,8.0,3.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,richard rios,Richard Ríos,"1,85m",right,35.0,2,Defensive Midfield,MF,25.0,26
Jaminton Campaz,"FW,MF",26-042,2.0,0,20.0,0.2,1.0,0.0,0.0,0.0,4.5,0.0,Colombia,"FW,MF",26-042,0.2,4.0,2.0,50.0,18.0,9.0,0.25,0.5,"FW,MF",26-042,0.2,0.0,1.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,jaminton campaz,Jáminton Campaz,"1,66m",left,11.0,2,Left Winger,FW,5.5,26
Kevin Castaño,MF,25-279,2.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,MF,25-279,0.2,0.0,0.0,,0.0,0.0,,,MF,25-279,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,kevin castano,Kevin Castaño,"1,79m",right,27.0,0,Defensive Midfield,MF,5.0,25
Andrés Gómez,MF,23-296,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,MF,23-296,0.0,0.0,0.0,,0.0,0.0,,,MF,23-296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,andres gomez,Andrés Gómez,"1,70m",right,9.0,2,Left Winger,FW,11.0,23
Jorge Carrascal,"FW,MF",28-041,0.0,0,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jorge carrascal,Jorge Carrascal,"1,80m",right,24.0,2,Attacking Midfield,MF,13.0,28
Willer Ditta,DF,28-163,0.0,0,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willer ditta,Willer Ditta,"1,79m",right,5.0,0,Centre-Back,DF,5.5,28
Yerry Mina,DF,31-285,0.0,0,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yerry mina,Yerry Mina,"1,95m",right,54.0,8,Centre-Back,DF,2.5,31
David Ospina,GK,37-308,0.0,0,,,,,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david ospina,David Ospina,"1,83m",right,131.0,0,Goalkeeper,GK,0.1,37
Chancel Mbemba,DF,31-331,,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.25,DR Congo,DF,31-331,4.0,1.0,0.0,0.0,0.25,0.0,0.0,,DF,31-331,4.0,1.0,3.0,0.0,4.0,1.0,3.0,,,,,,,,,,,,,,chancel mbemba,Chancel Mbemba,"1,82m",right,110.0,7,Centre-Back,DF,2.0,31
Lionel Mpasi,GK,31-338,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,GK,31-338,4.0,0.0,0.0,,0.0,0.0,,,GK,31-338,4.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,31-338,4.0,4.0,360.0,4.0,5.0,1.25,19.0,14.0,73.7,0.0,0.0,lionel mpasi nzau,Lionel Mpasi-Nzau,"1,82m",right,31.0,0,Goalkeeper,GK,0.4,31
Axel Tuanzebe,DF,28-233,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,DF,28-233,4.0,0.0,0.0,,0.0,0.0,,,DF,28-233,4.0,3.0,3.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,axel tuanzebe,Axel Tuanzebe,"1,88m",right,16.0,1,Centre-Back,DF,5.0,28
Yoane Wissa,FW,29-305,,4,360.0,4.0,3.0,0.0,0.0,0.0,0.75,0.0,DR Congo,FW,29-305,4.0,11.0,3.0,27.3,2.75,0.75,0.18,0.67,FW,29-305,4.0,5.0,9.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,yoane wissa,Yoane Wissa,"1,76m",right,41.0,11,Centre-Forward,FW,25.0,29
Aaron Wan-Bissaka,DF,28-221,,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,DF,28-221,3.9,0.0,0.0,,0.0,0.0,,,DF,28-221,3.9,1.0,1.0,1.0,6.0,7.0,4.0,,,,,,,,,,,,,,aaron wan bissaka,Aaron Wan-Bissaka,"1,83m",right,15.0,0,Right-Back,DF,15.0,28
Samuel Moutoussamy,MF,29-327,,4,330.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,DR Congo,MF,29-327,3.7,3.0,0.0,0.0,0.82,0.0,0.0,,MF,29-327,3.7,8.0,1.0,0.0,1.0,1.0,8.0,,,,,,,,,,,,,,samuel moutoussamy,Samuel Moutoussamy,"1,76m",left,61.0,0,Central Midfield,MF,1.2,29
Arthur Masuaku,DF,32-240,,4,315.0,3.5,0.0,1.0,0.0,0.0,0.0,0.29,DR Congo,DF,32-240,3.5,0.0,0.0,,0.0,0.0,,,DF,32-240,3.5,0.0,4.0,0.0,12.0,0.0,5.0,,,,,,,,,,,,,,arthur masuaku,Arthur Masuaku,"1,79m",left,47.0,4,Left-Back,DF,2.0,32
Ngal'Ayel Mukau,MF,21-244,,3,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,MF,21-244,2.2,1.0,0.0,0.0,0.46,0.0,0.0,,MF,21-244,2.2,3.0,4.0,1.0,0.0,3.0,2.0,,,,,,,,,,,,,,ngalayel mukau,Ngal'ayel Mukau,"1,86m",left,17.0,0,Defensive Midfield,MF,15.0,21
Cédric Bakambu,FW,35-085,,3,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,FW,35-085,2.1,3.0,0.0,0.0,1.42,0.0,0.0,,FW,35-085,2.1,2.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,,,,,,,cedric bakambu,Cédric Bakambu,"1,82m",right,72.0,21,Centre-Forward,FW,1.2,35
Noah Sadiki,MF,21-200,,2,259.0,2.9,0.0,0.0,2.0,0.0,0.0,0.0,DR Congo,MF,21-200,2.9,0.0,0.0,,0.0,0.0,,,MF,21-200,2.9,2.0,3.0,0.0,1.0,2.0,4.0,,,,,,,,,,,,,,noah sadiki,Noah Sadiki,"1,65m",right,23.0,0,Central Midfield,MF,35.0,21
Steve Kapuadi,DF,28-066,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,DF,28-066,2.0,1.0,0.0,0.0,0.5,0.0,0.0,,DF,28-066,2.0,2.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,steve kapuadi,Steve Kapuadi,"1,96m",left,5.0,0,Centre-Back,DF,2.5,28
Edo Kayembe,MF,28-032,,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,MF,28-032,1.8,2.0,1.0,50.0,1.13,0.56,0.0,0.0,MF,28-032,1.8,5.0,3.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,edo kayembe,Edo Kayembe,"1,83m",left,44.0,2,Central Midfield,MF,4.0,28
Brian Cipenga,"MF,FW",28-116,,2,146.0,1.6,1.0,0.0,0.0,0.0,0.62,0.0,DR Congo,"MF,FW",28-116,1.6,6.0,1.0,16.7,3.7,0.62,0.17,1.0,"MF,FW",28-116,1.6,2.0,1.0,1.0,9.0,0.0,2.0,,,,,,,,,,,,,,brian cipenga,Brian Cipenga,"1,72m",right,9.0,0,Left Winger,FW,2.0,28
Nathanaël Mbuku,"MF,FW",24-111,,2,143.0,1.6,0.0,0.0,1.0,0.0,0.0,0.0,DR Congo,"MF,FW",24-111,1.6,3.0,2.0,66.7,1.89,1.26,0.0,0.0,"MF,FW",24-111,1.6,4.0,8.0,0.0,14.0,0.0,3.0,,,,,,,,,,,,,,nathanael mbuku,Nathanaël Mbuku,"1,70m",left,21.0,2,Left Winger,FW,2.0,24
Joris Kayembe,"DF,FW",31-331,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,"DF,FW",31-331,0.5,1.0,0.0,0.0,2.0,0.0,0.0,,"DF,FW",31-331,0.5,0.0,1.0,0.0,3.0,4.0,4.0,,,,,,,,,,,,,,joris kayembe,Joris Kayembe,"1,80m",left,29.0,1,Left-Back,DF,2.0,31
Fiston Mayele,FW,32-011,,0,42.0,0.5,1.0,0.0,0.0,0.0,2.14,0.0,DR Congo,FW,32-011,0.5,5.0,1.0,20.0,10.71,2.14,0.2,1.0,FW,32-011,0.5,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,fiston mayele,Fiston Mayele,"1,85m",right,37.0,6,Centre-Forward,FW,1.8,32
Simon Banza,"FW,MF",29-326,,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,"FW,MF",29-326,0.4,0.0,0.0,,0.0,0.0,,,"FW,MF",29-326,0.4,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,simon banza,Simon Banza,"1,89m",right,17.0,2,Centre-Forward,FW,10.0,29
Charles Pickel,"DF,MF",29-051,,0,35.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,DR Congo,"DF,MF",29-051,0.4,1.0,0.0,0.0,2.57,0.0,0.0,,"DF,MF",29-051,0.4,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,charles pickel,Charles Pickel,"1,87m",right,36.0,1,Defensive Midfield,MF,2.5,29
Theo Bongonda,"FW,MF",30-227,,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,"FW,MF",30-227,0.4,1.0,0.0,0.0,2.65,0.0,0.0,,"FW,MF",30-227,0.4,0.0,1.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,theo bongonda,Théo Bongonda,"1,76m",left,39.0,7,Right Winger,FW,3.0,30
Gédéon Kalulu,DF,28-310,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,DR Congo,DF,28-310,0.1,0.0,0.0,,0.0,0.0,,,DF,28-310,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,gedeon kalulu,Gédéon Kalulu,"1,78m",right,29.0,0,Right-Back,DF,1.0,28
Dylan Batubinsika,DF,30-140,,0,,,,,,,,,DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dylan batubinsika,Dylan Batubinsika,"1,85m",right,15.0,1,Centre-Back,DF,0.6,30
Matthieu Epolo,GK,21-171,,0,,,,,,,,,DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matthieu epolo,Matthieu Epolo,"1,89m",right,1.0,0,Goalkeeper,GK,8.0,21
Timothy Fayulu,GK,26-346,,0,,,,,,,,,DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timothy fayulu,Timothy Fayulu,"1,92m",right,3.0,0,Goalkeeper,GK,0.8,26
Gaël Kakuta,"FW,MF",35-014,,0,,,,,,,,,DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gael kakuta,Gaël Kakuta,"1,74m",left,31.0,5,Attacking Midfield,MF,0.25,35
Aaron Tshibola,MF,31-184,,0,,,,,,,,,DR Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaron tshibola,Aaron Tshibola,"1,84m",right,17.0,1,Central Midfield,MF,0.15,31
Dominik Livaković,GK,31-177,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,GK,31-177,4.0,0.0,0.0,,0.0,0.0,,,GK,31-177,4.0,0.0,1.0,0.0,0.0,0.0,0.0,GK,31-177,4.0,4.0,360.0,4.0,7.0,1.75,17.0,10.0,58.8,1.0,25.0,dominik livakovic,Dominik Livakovic,"1,88m",right,78,0,Goalkeeper,GK,4.0,31
Ivan Perišić,"MF,DF",37-153,,4,360.0,4.0,1.0,1.0,2.0,0.0,0.25,0.25,Croatia,"MF,DF",37-153,4.0,2.0,2.0,100.0,0.5,0.5,0.5,0.5,"MF,DF",37-153,4.0,4.0,1.0,0.0,20.0,4.0,4.0,,,,,,,,,,,,,,ivan perisic,Ivan Perišić,"1,86m",both,157,38,Left Winger,FW,1.2,37
Josip Stanišić,"DF,MF",26-094,,4,360.0,4.0,0.0,1.0,0.0,0.0,0.0,0.25,Croatia,"DF,MF",26-094,4.0,0.0,0.0,,0.0,0.0,,,"DF,MF",26-094,4.0,0.0,4.0,0.0,7.0,5.0,2.0,,,,,,,,,,,,,,josip stanisic,Josip Stanisic,"1,87m",both,34,0,Right-Back,DF,40.0,26
Josip Šutalo,DF,26-127,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,DF,26-127,4.0,1.0,0.0,0.0,0.25,0.0,0.0,,DF,26-127,4.0,2.0,1.0,0.0,0.0,6.0,4.0,,,,,,,,,,,,,,josip sutalo,Josip Sutalo,"1,85m",right,36,0,Centre-Back,DF,12.0,26
Martin Baturina,"MF,FW",23-139,,4,321.0,3.6,1.0,0.0,0.0,0.0,0.28,0.0,Croatia,"MF,FW",23-139,3.6,3.0,1.0,33.3,0.84,0.28,0.33,1.0,"MF,FW",23-139,3.6,1.0,14.0,0.0,8.0,1.0,2.0,,,,,,,,,,,,,,martin baturina,Martin Baturina,"1,72m",right,22,2,Attacking Midfield,MF,30.0,23
Luka Modrić,MF,40-299,,4,317.0,3.5,0.0,1.0,1.0,0.0,0.0,0.28,Croatia,MF,40-299,3.5,1.0,0.0,0.0,0.28,0.0,0.0,,MF,40-299,3.5,4.0,3.0,0.0,11.0,0.0,3.0,,,,,,,,,,,,,,luka modric,Luka Modrić,"1,72m",right,201,29,Central Midfield,MF,3.5,40
Petar Sučić,"MF,FW",22-253,,3,289.0,3.2,1.0,1.0,1.0,0.0,0.31,0.31,Croatia,"MF,FW",22-253,3.2,3.0,2.0,66.7,0.93,0.62,0.33,0.5,"MF,FW",22-253,3.2,7.0,6.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,petar sucic,Petar Sučić,"1,83m",right,20,2,Central Midfield,MF,40.0,22
Mateo Kovačić,MF,32-060,,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Croatia,MF,32-060,3.0,5.0,4.0,80.0,1.67,1.33,0.0,0.0,MF,32-060,3.0,3.0,3.0,0.0,0.0,2.0,3.0,,,,,,,,,,,,,,mateo kovacic,Mateo Kovacic,"1,78m",right,116,5,Central Midfield,MF,10.0,32
Marin Pongračić,DF,28-297,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,DF,28-297,3.0,1.0,0.0,0.0,0.33,0.0,0.0,,DF,28-297,3.0,3.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,marin pongracic,Marin Pongracic,"1,93m",right,22,0,Centre-Back,DF,6.5,28
Nikola Vlašić,MF,28-274,,2,189.0,2.1,1.0,0.0,0.0,0.0,0.48,0.0,Croatia,MF,28-274,2.1,3.0,1.0,33.3,1.43,0.48,0.33,1.0,MF,28-274,2.1,5.0,0.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,nikola vlasic,Nikola Vlašić,"1,79m",right,65,11,Attacking Midfield,MF,10.0,28
Ante Budimir,FW,34-348,,2,155.0,1.7,1.0,0.0,0.0,0.0,0.58,0.0,Croatia,FW,34-348,1.7,3.0,1.0,33.3,1.74,0.58,0.33,1.0,FW,34-348,1.7,6.0,4.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,ante budimir,Ante Budimir,"1,90m",left,40,7,Centre-Forward,FW,2.8,34
Joško Gvardiol,DF,24-163,,2,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,DF,24-163,1.5,1.0,0.0,0.0,0.65,0.0,0.0,,DF,24-163,1.5,2.0,3.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,josko gvardiol,Josko Gvardiol,"1,85m",left,51,4,Centre-Back,DF,70.0,24
Petar Musa,FW,28-123,,2,110.0,1.2,1.0,0.0,0.0,0.0,0.82,0.0,Croatia,FW,28-123,1.2,1.0,1.0,100.0,0.82,0.82,1.0,1.0,FW,28-123,1.2,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,petar musa,Petar Musa,"1,90m",right,13,2,Centre-Forward,FW,12.0,28
Mario Pašalić,MF,31-146,,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,MF,31-146,1.4,4.0,1.0,25.0,2.93,0.73,0.0,0.0,MF,31-146,1.4,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,mario pasalic,Mario Pašalić,"1,88m",right,88,12,Central Midfield,MF,6.0,31
Marco Pašalić,MF,25-294,,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Croatia,MF,25-294,1.1,3.0,2.0,66.7,2.73,1.82,0.0,0.0,MF,25-294,1.1,0.0,2.0,2.0,11.0,1.0,2.0,,,,,,,,,,,,,,marco pasalic,Marco Pašalić,"1,77m",left,18,1,Right Winger,FW,6.5,25
