Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Patrick Beach,GK,22-333,4.0,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Aiden O'Neill,MF,28-001,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Jordy Bos,"MF,DF",23-249,4.0,4,308.0,3.4,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Connor Metcalfe,MF,26-242,4.0,3,315.0,3.5,1.0,0.0,0.0,0.0,0.29,0.0,Australia
Nestory Irankunda,"FW,MF",20-146,4.0,3,261.0,2.9,1.0,0.0,0.0,0.0,0.34,0.0,Australia
Jackson Irvine,MF,33-120,4.0,2,223.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Aziz Behich,MF,35-201,3.0,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Lucas Herrington,DF,18-303,2.0,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Paul Okon-Engstler,MF,21-162,4.0,2,197.0,2.2,0.0,1.0,0.0,0.0,0.0,0.46,Australia
Mo Touré,FW,22-101,3.0,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Jacob Italiano,DF,24-340,2.0,2,163.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,Australia
Cristian Volpato,MF,22-232,3.0,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Cameron Burgess,DF,30-257,2.0,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Nishan Velupillay,MF,25-059,2.0,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Mathew Leckie,MF,35-151,1.0,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Ajdin Hrustic,MF,30-000,2.0,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Kai Trewin,"DF,MF",25-048,1.0,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Jason Geria,DF,33-056,2.0,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Awer Mabil,"FW,MF",30-293,1.0,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Tete Yengi,FW,25-219,2.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Mathew Ryan,GK,34-088,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
Miloš Degenek,"DF,MF",32-068,0.0,0,,,,,,,,,Australia
Cammy Devlin,MF,28-028,0.0,0,,,,,,,,,Australia
Paul Izzo,GK,31-180,0.0,0,,,,,,,,,Australia
Konrad Laimer,"MF,DF",29-039,4.0,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.25,Austria
Marcel Sabitzer,MF,32-110,4.0,4,360.0,4.0,1.0,0.0,1.0,0.0,0.25,0.0,Austria
Alexander Schlager,GK,30-154,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Austria
Stefan Posch,DF,29-052,4.0,4,331.0,3.7,0.0,0.0,2.0,0.0,0.0,0.0,Austria
Nicolas Seiwald,MF,25-062,4.0,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,Austria
David Alaba,DF,34-011,4.0,4,275.0,3.1,0.0,1.0,0.0,0.0,0.0,0.33,Austria
Romano Schmid,"MF,FW",26-159,4.0,4,263.0,2.9,1.0,0.0,0.0,0.0,0.34,0.0,Austria
Xaver Schlager,MF,28-280,4.0,4,238.0,2.6,0.0,1.0,0.0,0.0,0.0,0.38,Austria
